thisN,thisTrialN,thisRepN,cue_resp.keys,cue_resp.corr,cue_resp.rt,cue_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,advance_press.keys,advance_press.rt,advance_press.duration,cue.started,left_box.started,right_box.started,cue_resp.started,cue_resp.stopped,cue.stopped,trials.cue_resp.keys,trials.cue_resp.corr,trials.cue_resp.rt,trials.cue_resp.duration,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,left_box.stopped,right_box.stopped,outcome_left_box.stopped,outcome_right_box.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,1,0,0.3946797919925302,0.1418561249738559,13,0,13,0,42.145657833025325,,,,,,,,,42.1443237499916,42.15897433302598,42.15897433302598,42.15897433302598,43.653589499997906,43.84445770800812,1,0,0.3946797919925302,0.1418561249738559,43.85321650002152,43.86742074997164,43.86742074997164,44.861275999981444,44.861298249976244,44.86733479198301,45.36316816700855,45.36125895800069,43.85504779202165,43.85504779202165,44.86733479198301,44.86733479198301,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
14,0,14,1,0,0.7715874999994412,0.14331095904344693,14,0,14,0,45.36316816700855,,,,,,,,,45.36137270799372,45.36316816700855,45.36316816700855,45.36316816700855,46.8536234999774,47.05280141701223,1,0,0.7715874999994412,0.14331095904344693,47.063206291990355,47.06541370798368,47.06541370798368,48.05241608299548,48.0524392920197,48.05444266699487,48.55066908302251,48.544304792012554,47.06541370798368,47.06541370798368,48.05444266699487,48.05444266699487,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
15,0,15,1,0,0.32666324998717755,0.12089629197726026,15,0,15,0,48.55066908302251,,,,,,,,,48.544411375012714,48.553908750007395,48.553908750007395,48.553908750007395,50.050613833009265,50.24052037502406,1,0,0.32666324998717755,0.12089629197726026,50.250859250023495,50.26738087501144,50.26738087501144,51.25292100000661,51.25294479198055,51.25462399999378,51.75065220799297,51.744822832988575,50.252723667013925,50.252723667013925,51.25462399999378,51.25462399999378,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
16,0,16,2,0,0.3299066249746829,0.16181429201969877,16,0,16,0,51.75065220799297,,,,,,,,,51.74492508301046,51.75395229202695,51.75395229202695,51.75395229202695,53.25066187500488,53.43909858301049,2,0,0.3299066249746829,0.16181429201969877,53.447031625022646,53.453291499987245,53.453291499987245,54.444428583025,54.44445175002329,54.454072166990954,54.95070787501754,54.94437637500232,53.44859570800327,53.44859570800327,54.450730916985776,54.450730916985776,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
17,0,17,2,0,0.3212371250265278,0.1726687919581309,17,0,17,0,54.95070787501754,,,,,,,,,54.94447799999034,54.95406833302695,54.95406833302695,54.95406833302695,56.44552870799089,56.6442458750098,2,0,0.3212371250265278,0.1726687919581309,56.65500083297957,56.66176808299497,56.66176808299497,57.652785832993686,57.65282129199477,57.654499542026315,58.15066508302698,58.144307625014335,56.65664125001058,56.65664125001058,57.654499542026315,57.654499542026315,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
18,0,18,2,0,0.285490041016601,0.13953691703500226,18,0,18,0,58.15066508302698,,,,,,,,,58.14441533299396,58.15400999999838,58.15400999999838,58.15400999999838,59.64537729200674,59.83886879199417,2,0,0.285490041016601,0.13953691703500226,59.84760475001531,59.85410120798042,59.85410120798042,60.84429787500994,60.844319667026866,60.85392424999736,61.3507179999724,61.344517791992985,59.849264207994565,59.849264207994565,60.850671917025466,60.850671917025466,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
19,0,19,2,0,0.06158745795255527,0.05590708402451128,19,0,19,0,61.3507179999724,,,,,,,,,61.34461933298735,61.35422479198314,61.35422479198314,61.35422479198314,62.85072849999415,63.04423683299683,2,0,0.06158745795255527,0.05590708402451128,63.05299479200039,63.067376416991465,63.067376416991465,64.05269895802485,64.05272212502314,64.05437945801532,64.55074133299058,64.54430791700725,63.0547417079797,63.0547417079797,64.05437945801532,64.05437945801532,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
20,0,20,2,0,0.36990629200590774,0.17987504199845716,20,0,20,0,64.55074133299058,,,,,,,,,64.54441675002454,64.55430291697849,64.55430291697849,64.55430291697849,66.0507295000134,66.23899533296935,2,0,0.36990629200590774,0.17987504199845716,66.24711162497988,66.25298741698498,66.25298741698498,67.24413608299801,67.2441589999944,67.25395979202585,67.75083637499483,67.74461908300873,66.24904416699428,66.24904416699428,67.25071845797356,67.25071845797356,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
21,0,21,2,0,0.5435977089800872,0.13953058299375698,21,0,21,0,67.75083637499483,,,,,,,,,67.74470375000965,67.75440337497275,67.75440337497275,67.75440337497275,69.25072100001853,69.43899720802438,2,0,0.5435977089800872,0.13953058299375698,69.44697991700377,69.45365724997828,69.45365724997828,70.44433683302486,70.44435929198517,70.45396045799134,70.95069883298129,70.9443451249972,69.44885933300247,69.44885933300247,70.45066933298949,70.45066933298949,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
22,0,22,2,0,0.9582915000501089,0.23175774997798726,22,0,22,0,70.95069883298129,,,,,,,,,70.94445112498943,70.9540687080007,70.9540687080007,70.9540687080007,72.45076616702136,72.64444229198853,2,0,0.9582915000501089,0.23175774997798726,72.65269537497079,72.6674168750178,72.6674168750178,73.65283316699788,73.65285537502496,73.65460558299674,74.15072045801207,74.14432166697225,72.65450008300832,72.65450008300832,73.65460558299674,73.65460558299674,804872,001,2025-02-28_16h57.15.511,untitled,2024.2.4,None,2025-02-28 16h57.21.300833 -0600,
23,0,23,,,,,23,0,23,0,74.15072045801207,,,,,,,,,74.14443370798836,74.1540245829965,74.1540245829965,74.1540245829965,75.65069729200331,75.84443487500539,1,0,0.5074229579768144,0.09522970800753683,75.85544549999759,75.86180708301254,75.86180708301254,76.85270083299838,76.85272329201689,76.85906824999256,,,75.8573128330172,75.8573128330172,76.85906824999256,76.85906824999256,,,,,,,,
