thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
7,0,7,space,9.785271199885756,None,5,0.7410017997026443,None,36.550276699941605,k,0.5684594004414976,None,None,37.150360899977386,37.15058699995279,39.1493776999414,39.14941219985485,40.14899649983272,40.14903019974008,42.14868910005316,,,,,,,2,0,2,0,7,0,7,0,714.5617149001919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.550276699941605,714.5463618002832,714.5617149001919,714.5617149001919,714.5617149001919,714.5617149001919,715.1463653002866,k,0.5684594004414976,None,right,1,15,6,6,70,6,None,37.150360899977386,37.15058699995279,715.1466734004207,715.1618918003514,715.1618918003514,717.1622627000324,717.1622627000324,717.1453959001228,39.1493776999414,39.14941219985485,717.1528078000993,717.1622627000324,717.1622627000324,718.1450426001102,stimuli/box_coin_transparent.png,40.14899649983272,40.14903019974008,718.1451122001745,718.1611314001493,720.1614360003732,720.1447380003519,42.14868910005316,718.1611314001493,718.1611314001493,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
8,0,8,space,9.785271199885756,None,5,0.7410017997026443,None,42.149766999762505,k,0.3631698000244796,None,None,42.53268889989704,42.53289090003818,45.53229229990393,45.53232319978997,46.53239589976147,46.532432599924505,48.0329078999348,,,,,,,2,0,2,0,8,0,8,0,720.1614360003732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.149766999762505,720.1458495003171,720.1614360003732,720.1614360003732,720.1614360003732,720.1614360003732,720.5286678001285,k,0.3631698000244796,None,right,1,15,7,6,71,7,None,42.53268889989704,42.53289090003818,720.5289761000313,720.5452270000242,720.5452270000242,723.5453816000372,723.5453816000372,723.5283244000748,45.53229229990393,45.53232319978997,723.534798100125,723.5453816000372,723.5453816000372,724.5284393001348,stimuli/box_coin_transparent.png,46.53239589976147,46.532432599924505,724.5285149002448,724.5447551002726,726.0458001000807,726.0289581003599,48.0329078999348,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
9,0,9,space,9.785271199885756,None,5,0.7410017997026443,None,48.03402080014348,k,0.35801539989188313,None,None,48.41600239975378,48.416189999785274,49.91663559991866,49.91666459990665,50.91663599992171,50.91665989998728,52.931684100069106,,,,,,,2,0,2,0,9,0,9,0,726.0458001000807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.03402080014348,726.0301033002324,726.0458001000807,726.0458001000807,726.0458001000807,726.0458001000807,726.4120205002837,k,0.35801539989188313,None,right,1,15,8,6,72,8,None,48.41600239975378,48.416189999785274,726.4122695000842,726.4285597000271,726.4285597000271,727.9295075000264,727.9295075000264,727.9126716000028,49.91663559991866,49.91666459990665,727.919828500133,727.9295075000264,727.9295075000264,728.9126819004305,stimuli/box_coin_transparent.png,50.91663599992171,50.91665989998728,728.9127391004004,728.9284543003887,730.9449440999888,730.9277327000163,52.931684100069106,728.9284543003887,728.9284543003887,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
10,0,10,space,9.785271199885756,None,5,0.7410017997026443,None,52.932828299701214,k,0.5628209998831153,None,None,53.5164147997275,53.516615599859506,55.015996700152755,55.016026800032705,56.0151482000947,56.015175899956375,57.01504819979891,,,,,,,2,0,2,0,10,0,10,0,730.9449440999888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.932828299701214,730.9289099001326,730.9449440999888,730.9449440999888,730.9449440999888,730.9449440999888,731.512428900227,k,0.5628209998831153,None,right,1,15,9,6,73,9,None,53.5164147997275,53.516615599859506,731.5126977004111,731.5283764000051,731.5283764000051,733.0281814001501,733.0281814001501,733.012033900246,55.015996700152755,55.016026800032705,733.0199281000532,733.0281814001501,733.0281814001501,734.0111913001165,stimuli/box_coin_transparent.png,56.0151482000947,56.015175899956375,734.0112579003908,734.0269806003198,735.0278622000478,735.0110887000337,57.01504819979891,734.0269806003198,734.0269806003198,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
11,0,11,space,9.785271199885756,None,5,0.7410017997026443,None,57.01635479973629,k,0.9917350001633167,None,None,58.032665899954736,58.03285469999537,60.03240570006892,60.03243499994278,61.0323882997036,61.03241520002484,62.53192039998248,,,,,,,2,0,2,0,11,0,11,0,735.0278622000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.01635479973629,735.0124404001981,735.0278622000478,735.0278622000478,735.0278622000478,735.0278622000478,736.0286828000098,k,0.9917350001633167,None,right,1,15,10,6,74,10,None,58.032665899954736,58.03285469999537,736.0289345001802,736.0442924001254,736.0442924001254,738.0451965001412,738.0451965001412,738.0284392000176,60.03240570006892,60.03243499994278,738.0356261003762,738.0451965001412,738.0451965001412,739.0284332004376,stimuli/box_coin_transparent.png,61.0323882997036,61.03241520002484,739.0284971999936,739.0439455001615,740.544488100335,740.5279670003802,62.53192039998248,739.0439455001615,739.0439455001615,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
12,0,12,space,9.785271199885756,None,5,0.7410017997026443,None,62.533111500088125,k,0.4217802002094686,None,None,62.982890899758786,62.98308030003682,63.982048799749464,63.98208349989727,64.98230260005221,64.98232699977234,67.98177960002795,,,,,,,2,0,2,0,12,0,12,0,740.544488100335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.533111500088125,740.529192800168,740.544488100335,740.544488100335,740.544488100335,740.544488100335,740.9789066002704,k,0.4217802002094686,None,right,1,15,11,6,75,11,None,62.982890899758786,62.98308030003682,740.9791610003449,740.9947005002759,740.9947005002759,741.9946743003093,741.9946743003093,741.9780783001333,63.982048799749464,63.98208349989727,741.9855048004538,741.9946743003093,741.9946743003093,742.9783493001014,stimuli/box_coin_transparent.png,64.98230260005221,64.98232699977234,742.9784062001854,742.9939292003401,745.9947307002731,745.9778188001364,67.98177960002795,742.9939292003401,742.9939292003401,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
13,0,13,space,9.785271199885756,None,5,0.7410017997026443,None,67.98306570015848,k,0.5232779998332262,None,None,68.53251399984583,68.53270730003715,69.03178709978238,69.03181509999558,70.03172289999202,70.03174619982019,72.03134199976921,,,,,,,2,0,2,0,13,0,13,0,745.9947307002731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98306570015848,745.9791502002627,745.9947307002731,745.9947307002731,745.9947307002731,745.9947307002731,746.5285307001323,k,0.5232779998332262,None,right,1,15,12,6,76,12,None,68.53251399984583,68.53270730003715,746.5287896003574,746.5446506002918,746.5446506002918,747.0447826003656,747.0447826003656,747.0278214002028,69.03178709978238,69.03181509999558,747.0349675002508,747.0447826003656,747.0447826003656,748.0277688000351,stimuli/box_coin_transparent.png,70.03172289999202,70.03174619982019,748.0278242002241,748.043552600313,750.0436769002117,750.0273850001395,72.03134199976921,748.043552600313,748.043552600313,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
14,0,14,space,9.785271199885756,None,5,0.7410017997026443,None,72.0326082999818,k,0.4700678000226617,None,None,72.53306159982458,72.53325239988044,74.03247589990497,74.03250839980319,75.04817260010168,75.048200099729,76.0485891001299,,,,,,,2,0,2,0,14,0,14,0,750.0436769002117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0326082999818,750.028692800086,750.0436769002117,750.0436769002117,750.0436769002117,750.0436769002117,750.529079800006,k,0.4700678000226617,None,right,0,15,12,6,77,12,None,72.53306159982458,72.53325239988044,750.5293346000835,750.5443301000632,750.5443301000632,752.0453440002166,752.0453440002166,752.0285043003969,74.03247589990497,74.03250839980319,752.0345248002559,752.0453440002166,752.0453440002166,753.0442062001675,stimuli/box_empty_transparent.png,75.04817260010168,75.048200099729,753.0442801001482,753.0600477000698,754.0612576003186,754.0446364004165,76.0485891001299,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
15,0,15,space,9.785271199885756,None,5,0.7410017997026443,None,76.04980809986591,j,0.4436464002355933,None,None,76.51539209997281,76.51564170001075,77.51508030015975,77.5151104000397,78.53207059996203,78.53209589980543,80.5320144998841,,,,,,,2,0,2,0,15,0,15,0,754.0612576003186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.04980809986591,754.0458926004358,754.0612576003186,754.0612576003186,754.0612576003186,754.0612576003186,754.5114096002653,j,0.4436464002355933,None,right,0,15,12,6,77,12,None,76.51539209997281,76.51564170001075,754.5117256999947,754.5279429000802,754.5279429000802,755.5281828003936,755.5281828003936,755.5111153000034,77.51508030015975,77.5151104000397,755.517177300062,755.5281828003936,755.5281828003936,756.5281150001101,stimuli/box_empty_transparent.png,78.53207059996203,78.53209589980543,756.5281753004529,756.5437989002094,758.5447115004063,758.5280623002909,80.5320144998841,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
16,0,16,space,9.785271199885756,None,5,0.7410017997026443,None,80.5331911998801,k,0.5010735001415014,None,None,81.06582390004769,81.06601209985092,83.06508489977568,83.06511409999803,84.0806762999855,84.08070540009066,85.08157979976386,,,,,,,2,0,2,0,16,0,16,0,758.5447115004063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5331911998801,758.5292733004317,758.5447115004063,758.5447115004063,758.5447115004063,758.5447115004063,759.061841300223,k,0.5010735001415014,None,right,0,15,12,6,78,12,None,81.06582390004769,81.06601209985092,759.0620941002853,759.0779076004401,759.0779076004401,761.0779675003141,761.0779675003141,761.0611188001931,83.06508489977568,83.06511409999803,761.0672421003692,761.0779675003141,761.0779675003141,762.076716999989,stimuli/box_empty_transparent.png,84.0806762999855,84.08070540009066,762.0767920003273,762.0928872004151,763.0934557002038,763.077627800405,85.08157979976386,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
17,0,17,space,9.785271199885756,None,5,0.7410017997026443,None,85.08288969984278,j,0.9213677002117038,None,None,86.03174640005454,86.0319929998368,87.03112800000235,87.03115729987621,88.0473377997987,88.04737129993737,89.04753099987283,,,,,,,2,0,2,0,17,0,17,0,763.0934557002038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.08288969984278,763.0789741002955,763.0934557002038,763.0934557002038,763.0934557002038,763.0934557002038,764.0277642002329,j,0.9213677002117038,None,right,0,15,12,6,78,12,None,86.03174640005454,86.0319929998368,764.0280773001723,764.0436842003837,764.0436842003837,765.0450083999895,765.0450083999895,765.0271632000804,87.03112800000235,87.03115729987621,765.0331463003531,765.0450083999895,765.0450083999895,766.0433775000274,stimuli/box_empty_transparent.png,88.0473377997987,88.04737129993737,766.0434606000781,766.0604068003595,767.0604071002454,767.0435795001686,89.04753099987283,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
18,0,18,space,9.785271199885756,None,5,0.7410017997026443,None,89.04869400011376,j,0.34766990039497614,None,None,89.4146750997752,89.41492839995772,92.91416689986363,92.9142004000023,93.91449749981984,93.91452409978956,95.91335689974949,,,,,,,2,0,2,0,18,0,18,0,767.0604071002454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.04869400011376,767.0447783004493,767.0604071002454,767.0604071002454,767.0604071002454,767.0604071002454,767.4106809003279,j,0.34766990039497614,None,right,0,15,12,6,78,12,None,89.4146750997752,89.41492839995772,767.4110145000741,767.426607800182,767.426607800182,770.9266540003009,770.9266540003009,770.9101998000406,92.91416689986363,92.9142004000023,770.9163187001832,770.9266540003009,770.9266540003009,771.910532000009,stimuli/box_empty_transparent.png,93.91449749981984,93.91452409978956,771.9106106003746,771.9266468002461,773.926221600268,773.9094029003754,95.91335689974949,,,,,,,,,,,,,,,,,,,22222,right,no,None,2025-05-07_14h07.02.934,RL_out-of-scanner,2024.2.4,60.5493277023731,2025-05-07 14h07.15.943248 -0500,
