thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,run_feedback.started,coins_won_text.started,coins_won_text.stopped,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
36,0,36,space,3.228879999835044,None,5,2.282000800129026,None,176.73005679994822,k,0.34576529962942004,None,None,177.0954205999151,177.09560849983245,178.5954582998529,178.59549139998853,179.5957839996554,179.59581169998273,183.1107386997901,,,,,1,0,1,0,36,0,36,0,500.4543083002791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.73005679994822,500.4396545002237,500.4543083002791,500.4543083002791,500.4543083002791,500.4543083002791,500.8049528002739,k,0.34576529962942004,None,left,0,13,11,4,73,21,None,177.0954205999151,177.09560849983245,500.80520740011707,500.82144130021334,500.82144130021334,502.32215230027214,502.32215230027214,502.3050033999607,178.5954582998529,178.59549139998853,502.31115829991177,502.32215230027214,502.32215230027214,503.32127080019563,503.32127080019563,503.30534349987283,stimuli/box_empty_transparent.png,179.5957839996554,179.59581169998273,503.3054090999067,503.32127080019563,506.8388475999236,506.8202988002449,183.1107386997901,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
37,0,37,space,3.228879999835044,None,5,2.282000800129026,None,183.11198259983212,j,0.3330796998925507,None,None,183.47862689988688,183.4788662996143,185.47821779968217,185.47825099993497,186.47877919999883,186.4788106996566,187.47784419963136,,,,,1,0,1,0,37,0,37,0,506.8388475999236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.11198259983212,506.8215803001076,506.8388475999236,506.8388475999236,506.8388475999236,506.8388475999236,507.18816070025787,j,0.3330796998925507,None,left,1,13,12,4,74,22,None,183.47862689988688,183.4788662996143,507.18846270022914,507.2044541002251,507.2044541002251,509.2050052001141,509.2050052001141,509.1877600001171,185.47821779968217,185.47825099993497,509.1956425001845,509.2050052001141,509.2050052001141,,,510.1883350000717,stimuli/box_coin_transparent.png,186.47877919999883,186.4788106996566,510.18841380020604,510.2039566002786,511.20461110025644,511.18740520020947,187.47784419963136,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
38,0,38,space,3.228879999835044,None,5,2.282000800129026,None,187.47913609957322,j,0.3465491998940706,None,None,187.84505070000887,187.84531629970297,188.84563669981435,188.84566439967602,189.84556089993566,189.84558689966798,191.34448199998587,,,,,1,0,1,0,38,0,38,0,511.20461110025644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.47913609957322,511.1887353998609,511.20461110025644,511.20461110025644,511.20461110025644,511.20461110025644,511.55457889987156,j,0.3465491998940706,None,left,1,13,13,4,75,23,None,187.84505070000887,187.84531629970297,511.5549209001474,511.5704561001621,511.5704561001621,512.5708461999893,512.5708461999893,512.5551825002767,188.84563669981435,188.84566439967602,512.5627498002723,512.5708461999893,512.5708461999893,513.5705670998432,513.5705670998432,513.5551224998198,stimuli/box_coin_transparent.png,189.84556089993566,189.84558689966798,513.5551844998263,513.5705670998432,515.0707052000798,515.0540446001105,191.34448199998587,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
39,0,39,space,3.228879999835044,None,5,2.282000800129026,None,191.34571619983763,j,0.35018760012462735,None,None,191.7127694999799,191.71300839958712,192.71195699973032,192.7119896998629,193.7121402998455,193.71217740001157,194.7112045995891,,,,,1,0,1,0,39,0,39,0,515.0707052000798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.34571619983763,515.0553164999001,515.0707052000798,515.0707052000798,515.0707052000798,515.0707052000798,515.4223035001196,j,0.35018760012462735,None,right,1,11,0,5,75,23,None,191.7127694999799,191.71300839958712,515.4226079001091,515.436977500096,515.436977500096,516.4381006001495,516.4381006001495,516.4215005999431,192.71195699973032,192.7119896998629,516.4276279001497,516.4381006001495,516.4381006001495,,,517.4217007001862,stimuli/box_empty_transparent.png,193.7121402998455,193.71217740001157,517.4217754001729,517.4376849001274,518.4373591998592,518.4207667000592,194.7112045995891,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
40,0,40,space,3.228879999835044,None,5,2.282000800129026,None,194.71246489975601,k,0.32243189960718155,None,None,195.0623919996433,195.06258149957284,196.56142239971086,196.56145109981298,197.5616349996999,197.56166099989787,198.56148909963667,,,,,1,0,1,0,40,0,40,0,518.4373591998592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.71246489975601,518.4220741000026,518.4373591998592,518.4373591998592,518.4373591998592,518.4373591998592,518.7719256998971,k,0.32243189960718155,None,right,1,11,1,5,76,24,None,195.0623919996433,195.06258149957284,518.7721779998392,518.7877724999562,518.7877724999562,520.2881215000525,520.2881215000525,520.2709718998522,196.56142239971086,196.56145109981298,520.2786452998407,520.2881215000525,520.2881215000525,,,521.2711951001547,stimuli/box_coin_transparent.png,197.5616349996999,197.56166099989787,521.2712583998218,521.2864568000659,522.2873235000297,522.2710522999987,198.56148909963667,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
41,0,41,space,3.228879999835044,None,5,2.282000800129026,None,198.5627523995936,k,0.30492959963157773,None,None,198.89457609970123,198.8947926997207,199.89519349997863,199.89522149972618,200.89471089979634,200.89473469974473,203.8936574999243,,,,,1,0,1,0,41,0,41,0,522.2873235000297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.5627523995936,522.2723530000076,522.2873235000297,522.2873235000297,522.2873235000297,522.2873235000297,522.6040946999565,k,0.30492959963157773,None,right,1,11,2,5,77,25,None,198.89457609970123,198.8947926997207,522.6043994999491,522.6199242998846,522.6199242998846,523.6213074000552,523.6213074000552,523.6047466001473,199.89519349997863,199.89522149972618,523.6119368001819,523.6213074000552,523.6213074000552,524.6199135999195,524.6199135999195,524.604273499921,stimuli/box_coin_transparent.png,200.89471089979634,200.89473469974473,524.6043318999,524.6199135999195,527.6203095000237,527.6032226998359,203.8936574999243,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
42,0,42,space,3.228879999835044,None,5,2.282000800129026,None,203.89485319983214,j,0.33219539979472756,None,None,204.2445074999705,204.24471629969776,206.24421969987452,206.2442532996647,207.2443762999028,207.2444036998786,210.74417369998991,,,,,1,0,1,0,42,0,42,0,527.6203095000237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.89485319983214,527.6044534002431,527.6203095000237,527.6203095000237,527.6203095000237,527.6203095000237,527.9540393999778,j,0.33219539979472756,None,right,1,11,2,5,77,25,None,204.2445074999705,204.24471629969776,527.9543117000721,527.9700211002491,527.9700211002491,529.970540500246,529.970540500246,529.9537617000751,206.24421969987452,206.2442532996647,529.9598882999271,529.970540500246,529.970540500246,530.9696825998835,530.9696825998835,530.9539373000152,stimuli/box_empty_transparent.png,207.2443762999028,207.2444036998786,530.9540007999167,530.9696825998835,534.4706430998631,534.4537386000156,210.74417369998991,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
43,0,43,space,3.228879999835044,None,5,2.282000800129026,None,210.74530469998717,j,0.33588230004534125,None,None,211.11138359969482,211.11163659999147,212.11165749980137,212.11168590001762,213.11054599983618,213.11057399958372,215.10977809969336,,,,,1,0,1,0,43,0,43,0,534.4706430998631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.74530469998717,534.4549143998884,534.4706430998631,534.4706430998631,534.4706430998631,534.4706430998631,534.820910600014,j,0.33588230004534125,None,right,1,11,2,5,77,25,None,211.11138359969482,211.11163659999147,534.8212370001711,534.8369146999903,534.8369146999903,535.8372618998401,535.8372618998401,535.8212075000629,212.11165749980137,212.11168590001762,535.8271508002654,535.8372618998401,535.8372618998401,536.8361283000559,536.8361283000559,536.8201061999425,stimuli/box_empty_transparent.png,213.11054599983618,213.11057399958372,536.8201721999794,536.8361283000559,538.8363017002121,538.8193418001756,215.10977809969336,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
44,0,44,space,3.228879999835044,None,5,2.282000800129026,None,215.11091019958258,k,0.3244810001924634,None,None,215.46070860000327,215.46089019998908,217.96069039963186,217.96072059962898,218.96103189978749,218.96105869999155,220.96009569987655,,,,,1,0,1,0,44,0,44,0,538.8363017002121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.11091019958258,538.8205110998824,538.8363017002121,538.8363017002121,538.8363017002121,538.8363017002121,539.170243400149,k,0.3244810001924634,None,right,1,11,3,5,78,26,None,215.46070860000327,215.46089019998908,539.1704875002615,539.1870027999394,539.1870027999394,541.6872947998345,541.6872947998345,541.6702379002236,217.96069039963186,217.96072059962898,541.6767895999365,541.6872947998345,541.6872947998345,,,542.670590700116,stimuli/box_coin_transparent.png,218.96103189978749,218.96105869999155,542.6706570000388,542.6862745000981,544.6865567001514,544.6696568001062,220.96009569987655,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
45,0,45,space,3.228879999835044,None,5,2.282000800129026,None,220.96129919961095,k,0.33135080011561513,None,None,221.31050749961287,221.31069499999285,222.31071039987728,222.31074339989573,223.31060009961948,223.31062809983268,224.31053569959477,,,,,1,0,1,0,45,0,45,0,544.6865567001514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.96129919961095,544.6709032999352,544.6865567001514,544.6865567001514,544.6865567001514,544.6865567001514,545.0200380999595,k,0.33135080011561513,None,right,1,11,4,5,79,27,None,221.31050749961287,221.31069499999285,545.0202930001542,545.0370730999857,545.0370730999857,546.0372342001647,546.0372342001647,546.0202581002377,222.31071039987728,222.31074339989573,546.0274940999225,546.0372342001647,546.0372342001647,547.0354518000968,547.0354518000968,547.0201599001884,stimuli/box_coin_transparent.png,223.31060009961948,223.31062809983268,547.020226799883,547.0354518000968,548.0368869001977,548.0200757002458,224.31053569959477,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
46,0,46,space,3.228879999835044,None,5,2.282000800129026,None,224.31169269979,k,0.40927329985424876,None,None,224.74475319962949,224.74497959995642,226.74376209964976,226.74379169987515,227.7440791996196,227.74410649994388,228.7434333995916,,,,,1,0,1,0,46,0,46,0,548.0368869001977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.31169269979,548.0212902999483,548.0368869001977,548.0368869001977,548.0368869001977,548.0368869001977,548.4542800998315,k,0.40927329985424876,None,right,0,11,4,5,80,27,None,224.74475319962949,224.74497959995642,548.4545816001482,548.4705556002446,548.4705556002446,550.4705221001059,550.4705221001059,550.4533134000376,226.74376209964976,226.74379169987515,550.4597273999825,550.4705221001059,550.4705221001059,551.4690363998525,551.4690363998525,551.4536406998523,stimuli/box_empty_transparent.png,227.7440791996196,227.74410649994388,551.4537034002133,551.4690363998525,552.4692925000563,552.4529980001971,228.7434333995916,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
47,0,47,space,3.228879999835044,None,5,2.282000800129026,None,228.74459929997101,k,0.7269342001527548,None,None,229.49448999995366,229.4946882999502,232.49331779964268,232.49334659986198,233.49366869963706,233.49371609976515,234.993135899771,,,,,1,0,1,0,47,0,47,0,552.4692925000563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.74459929997101,552.4542001001537,552.4692925000563,552.4692925000563,552.4692925000563,552.4692925000563,553.204020800069,k,0.7269342001527548,None,right,1,11,5,5,81,28,None,229.49448999995366,229.4946882999502,553.2042876002379,553.2196122002788,553.2196122002788,556.2197278002277,556.2197278002277,556.2028693999164,232.49331779964268,232.49334659986198,556.2103522000834,556.2197278002277,556.2197278002277,,,557.2032157001086,stimuli/box_coin_transparent.png,233.49366869963706,233.49371609976515,557.2033114000224,557.2187238000333,558.7198574002832,558.7026988002472,234.993135899771,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
48,0,48,space,3.228879999835044,None,5,2.282000800129026,None,234.99437289964408,k,0.3504275996237993,None,None,235.37769779982045,235.37789659993723,236.8776774997823,236.8777084997855,237.87692940002307,237.87695849966258,241.3759224996902,,,,,1,0,1,0,48,0,48,0,558.7198574002832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.99437289964408,558.7039736001752,558.7198574002832,558.7198574002832,558.7198574002832,558.7198574002832,559.0872292998247,k,0.3504275996237993,None,right,1,11,6,5,82,29,None,235.37769779982045,235.37789659993723,559.0874936999753,559.1034244000912,559.1034244000912,560.6027199998498,560.6027199998498,560.5872205002233,236.8776774997823,236.8777084997855,560.5937624000944,560.6027199998498,560.6027199998498,561.6020827000029,561.6020827000029,561.5864889002405,stimuli/box_coin_transparent.png,237.87692940002307,237.87695849966258,561.5865572001785,561.6020827000029,565.1023932001553,565.0854861000553,241.3759224996902,,,,,,,,,,,222222,right,no,None,2025-05-07_14h23.42.754,RL_out-of-scanner,2024.2.4,59.99268086513943,2025-05-07 14h23.54.505306 -0500,
