thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,space,11.482507900102064,None,5,0.697104100137949,None,95.42599970009178,j,0.4138364000245929,None,None,95.85783270001411,95.85829140013084,97.87149080005474,97.87154340022244,98.88681680010632,98.88686630013399,100.90185990021564,,,,,,,2,0,2,0,20,0,20,0,881.8405015000608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.42599970009178,881.827227700036,881.8405015000608,881.8405015000608,881.8405015000608,881.8405015000608,882.2588868001476,j,0.4138364000245929,None,left,0,14,2,7,87,12,None,95.85783270001411,95.85829140013084,882.2595053000841,882.2735492000356,882.2735492000356,884.2935504000634,884.2935504000634,884.2725919999648,97.87149080005474,97.87154340022244,884.2866779000033,884.2935504000634,884.2935504000634,885.2879482000135,stimuli/box_empty_transparent.png,98.88681680010632,98.88686630013399,885.2880724000279,885.3040140999947,887.3195944000036,887.3029956000391,100.90185990021564,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
21,0,21,space,11.482507900102064,None,5,0.697104100137949,None,100.9042410000693,j,0.35516050015576184,None,None,101.2871480002068,101.28762469999492,104.30018670018762,104.30024100001901,105.31482580001466,105.3148718001321,106.83074510004371,,,,,,,2,0,2,0,21,0,21,0,887.3195944000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9042410000693,887.305462300079,887.3195944000036,887.3195944000036,887.3195944000036,887.3195944000036,887.6882124999538,j,0.35516050015576184,None,left,1,14,3,7,88,13,None,101.2871480002068,101.28762469999492,887.6888385000639,887.7024636999704,887.7024636999704,890.7261463000905,890.7261463000905,890.7012853999622,104.30018670018762,104.30024100001901,890.7191512000281,890.7261463000905,890.7261463000905,891.7159565000329,stimuli/box_coin_transparent.png,105.31482580001466,105.3148718001321,891.7160772001371,891.7320137000643,893.2482173999306,893.2318780999631,106.83074510004371,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
22,0,22,space,11.482507900102064,None,5,0.697104100137949,None,106.83328320016153,j,0.37647409993223846,None,None,107.23243600013666,107.2329135001637,108.74593700002879,108.74599000019953,109.76151169999503,109.76155870012008,111.77658060006797,,,,,,,2,0,2,0,22,0,22,0,893.2482173999306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.83328320016153,893.2345170001499,893.2482173999306,893.2482173999306,893.2482173999306,893.2482173999306,893.6334973000921,j,0.37647409993223846,None,left,1,14,4,7,89,14,None,107.23243600013666,107.2329135001637,893.634128900012,893.6477328001056,893.6477328001056,895.1712640000042,895.1712640000042,895.14704359998,108.74593700002879,108.74599000019953,895.1642430999782,895.1712640000042,895.1712640000042,896.16264460003,stimuli/box_coin_transparent.png,109.76151169999503,109.76155870012008,896.1627670000307,896.1786499000154,898.1939435000531,898.1777143001091,111.77658060006797,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
23,0,23,space,11.482507900102064,None,5,0.697104100137949,None,111.77895500021987,j,0.34959129989147186,None,None,112.14550109999254,112.14595530019142,113.65972090000287,113.65977510018274,114.67406420013867,114.67411110014655,116.18969930009916,,,,,,,2,0,2,0,23,0,23,0,898.1939435000531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77895500021987,898.180179500021,898.1939435000531,898.1939435000531,898.1939435000531,898.1939435000531,898.5465663000941,j,0.34959129989147186,None,left,0,14,4,7,90,14,None,112.14550109999254,112.14595530019142,898.5471686001401,898.5604826000053,898.5604826000053,900.082105900161,900.082105900161,900.0608135999646,113.65972090000287,113.65977510018274,900.0751817999408,900.082105900161,900.082105900161,901.0751954000443,stimuli/box_empty_transparent.png,114.67406420013867,114.67411110014655,901.0753168000374,901.0912532999646,902.607082700124,902.5908346001524,116.18969930009916,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
24,0,24,space,11.482507900102064,None,5,0.697104100137949,None,116.19206060003489,j,0.46251420001499355,None,None,116.67397010000423,116.6744144000113,118.68842330016196,118.68847710010596,119.70392490015365,119.70397100015543,121.21893480001017,,,,,,,2,0,2,0,24,0,24,0,902.607082700124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.19206060003489,902.593282100046,902.607082700124,902.607082700124,902.607082700124,902.607082700124,903.0750407001469,j,0.46251420001499355,None,left,1,14,5,7,91,15,None,116.67397010000423,116.6744144000113,903.0756262999494,903.0900483001024,903.0900483001024,905.1139058000408,905.1139058000408,905.0895213000476,118.68842330016196,118.68847710010596,905.1069881999865,905.1139058000408,905.1139058000408,906.1050563999452,stimuli/box_coin_transparent.png,119.70392490015365,119.70397100015543,906.1051789999474,906.120698899962,907.6364130999427,907.620070700068,121.21893480001017,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
25,0,25,space,11.482507900102064,None,5,0.697104100137949,None,121.22136880015023,j,0.2880719001404941,None,None,121.53752430016175,121.538015200058,122.53509160014801,122.53514320007525,123.55040260008536,123.55045030009933,127.06429360015318,,,,,,,2,0,2,0,25,0,25,0,907.6364130999427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.22136880015023,907.622588200029,907.6364130999427,907.6364130999427,907.6364130999427,907.6364130999427,907.9385896001477,j,0.2880719001404941,None,left,1,14,6,7,92,16,None,121.53752430016175,121.538015200058,907.9392359999474,907.9530646000057,907.9530646000057,908.9601861000992,908.9601861000992,908.9362000001129,122.53509160014801,122.53514320007525,908.9536280001048,908.9601861000992,908.9601861000992,909.9515259999316,stimuli/box_coin_transparent.png,123.55040260008536,123.55045030009933,909.9516596000176,909.9674826001283,913.4821411999874,913.4654330001213,127.06429360015318,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
26,0,26,space,11.482507900102064,None,5,0.697104100137949,None,127.06665950012393,j,0.24707179982215166,None,None,127.3329795000609,127.33343110000715,127.83117200015113,127.83122450020164,128.84613100020215,128.8461759001948,132.36038270010613,,,,,,,2,0,2,0,26,0,26,0,913.4821411999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.06665950012393,913.4678807000164,913.4821411999874,913.4821411999874,913.4821411999874,913.4821411999874,913.7340460999403,j,0.24707179982215166,None,left,1,14,7,7,93,17,None,127.3329795000609,127.33343110000715,913.7346427999437,913.7483540000394,913.7483540000394,914.2565824999474,914.2565824999474,914.232271600049,127.83117200015113,127.83122450020164,914.249700000044,914.2565824999474,914.2565824999474,915.2472622001078,stimuli/box_coin_transparent.png,128.84613100020215,128.8461759001948,915.2473824999761,915.2632460000459,918.7779169999994,918.7615162001457,132.36038270010613,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
27,0,27,space,11.482507900102064,None,5,0.697104100137949,None,132.36330840014853,j,0.23977040010504425,None,None,132.62853490002453,132.6289865002036,134.1425179000944,134.1425683000125,135.15763550018892,135.15767860016786,136.15721880015917,,,,,,,2,0,2,0,27,0,27,0,918.7779169999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.36330840014853,918.7645366000943,918.7779169999994,918.7779169999994,918.7779169999994,918.7779169999994,919.0296011001337,j,0.23977040010504425,None,left,1,14,8,7,94,18,None,132.62853490002453,132.6289865002036,919.0302299000323,919.0442361999303,919.0442361999303,920.5678119999357,920.5678119999357,920.5436267999467,134.1425179000944,134.1425683000125,920.5611712001264,920.5678119999357,920.5678119999357,921.558767599985,stimuli/box_coin_transparent.png,135.15763550018892,135.15767860016786,921.5588835000526,921.5749723999761,922.5746528001036,922.5583504999522,136.15721880015917,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
28,0,28,space,11.482507900102064,None,5,0.697104100137949,None,136.15986450016499,j,0.4271331001073122,None,None,136.6088718001265,136.60942700016312,137.6068095001392,137.6068667001091,138.6219107999932,138.6219616001472,142.13599680014886,,,,,,,2,0,2,0,28,0,28,0,922.5746528001036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.15986450016499,922.5610893999692,922.5746528001036,922.5746528001036,922.5746528001036,922.5746528001036,923.0099321000744,j,0.4271331001073122,None,left,0,14,8,7,95,18,None,136.6088718001265,136.60942700016312,923.0106427001301,923.024466900155,923.024466900155,924.0291614001617,924.0291614001617,924.0079042001162,137.6068095001392,137.6068667001091,924.0224800000433,924.0291614001617,924.0291614001617,925.0230428001378,stimuli/box_empty_transparent.png,138.6219107999932,138.6219616001472,925.0231677000411,925.0389374000952,928.5533952000551,928.5371308000758,142.13599680014886,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
29,0,29,space,11.482507900102064,None,5,0.697104100137949,None,142.13837110018358,j,0.3171200000215322,None,None,142.48737940005958,142.4878293001093,144.50101510016248,144.5010657000821,145.51634580013342,145.51641590008512,146.51571960002184,,,,,,,2,0,2,0,29,0,29,0,928.5533952000551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.13837110018358,928.539593399968,928.5533952000551,928.5533952000551,928.5533952000551,928.5533952000551,928.8884438001551,j,0.3171200000215322,None,left,0,14,8,7,96,18,None,142.48737940005958,142.4878293001093,928.8890410000458,928.9031167000066,928.9031167000066,930.9225246999413,930.9225246999413,930.9021193000954,144.50101510016248,144.5010657000821,930.9160549000371,930.9225246999413,930.9225246999413,931.9174697999842,stimuli/box_empty_transparent.png,145.51634580013342,145.51641590008512,931.9176254000049,931.9333729001228,932.93315850012,932.9168535000645,146.51571960002184,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
30,0,30,space,11.482507900102064,None,5,0.697104100137949,None,146.51809730008245,k,0.28203869983553886,None,None,146.8170553999953,146.8174495000858,147.81492480007,147.81497750012204,148.83056760020554,148.83061570022255,149.83008360001259,,,,,,,2,0,2,0,30,0,30,0,932.93315850012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.51809730008245,932.9193196000997,932.93315850012,932.93315850012,932.93315850012,932.93315850012,933.2181248001289,k,0.28203869983553886,None,left,0,14,8,7,96,18,None,146.8170553999953,146.8174495000858,933.2186591001227,933.232676200103,933.232676200103,934.2363627001178,934.2363627001178,934.2160290000029,147.81492480007,147.81497750012204,934.2299765001517,934.2363627001178,934.2363627001178,935.2316986001097,stimuli/box_empty_transparent.png,148.83056760020554,148.83061570022255,935.2318228001241,935.2474593000952,936.247447000118,936.231216999935,149.83008360001259,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
31,0,31,space,11.482507900102064,None,5,0.697104100137949,None,149.83247950021178,k,0.34282529982738197,None,None,150.1980642999988,150.19845920009539,153.21105170017108,153.21110479999334,154.22609770018607,154.22614430007525,156.7409775000997,,,,,,,2,0,2,0,31,0,31,0,936.247447000118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.83247950021178,936.2337015001103,936.247447000118,936.247447000118,936.247447000118,936.247447000118,936.5991299001034,k,0.34282529982738197,None,left,0,14,8,7,96,18,None,150.1980642999988,150.19845920009539,936.5996704001445,936.6135422000661,936.6135422000661,939.6331887000706,939.6331887000706,939.6121489000507,153.21105170017108,153.21110479999334,939.6262759000529,939.6331887000706,939.6331887000706,940.6272283999715,stimuli/box_empty_transparent.png,154.22609770018607,154.22614430007525,940.6273509000894,940.6432628999464,943.1582879000343,943.1421117000282,156.7409775000997,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
32,0,32,space,11.482507900102064,None,5,0.697104100137949,None,156.7438374001067,k,0.2628256001044065,None,None,157.0257689000573,157.0261655000504,158.0234437000472,158.02349700010382,159.0386569001712,159.0387021000497,160.03805730002932,,,,,,,2,0,2,0,32,0,32,0,943.1582879000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.7438374001067,943.1450635001529,943.1582879000343,943.1582879000343,943.1582879000343,943.1582879000343,943.4268345001619,k,0.2628256001044065,None,left,0,14,8,7,96,18,None,157.0257689000573,157.0261655000504,943.427376100095,943.4413610000629,943.4413610000629,944.4454564999323,944.4454564999323,944.4245511000045,158.0234437000472,158.02349700010382,944.438635900151,944.4454564999323,944.4454564999323,945.4397889000829,stimuli/box_empty_transparent.png,159.0386569001712,159.0387021000497,945.4399085000623,945.4558904999867,946.4554729000665,946.4391912999563,160.03805730002932,,,,,,,,,,,,,,,,,,967191,right,no,None,2025-05-14_14h25.25.739,RL_out-of-scanner,2024.2.4,60.066048570526306,2025-05-14 14h26.07.238798 -0700,
