thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,space,23.511701200157404,None,5,2.8643253999762237,None,95.99686379963532,j,0.49991359980776906,None,None,96.51393699971959,96.51429029973224,97.51327529968694,97.51331879990175,98.51281409990042,98.51285129971802,100.01228959998116,,,,,,,2,0,2,0,19,0,19,0,747.8527113003656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.99686379963532,747.8382697999477,747.8527113003656,747.8527113003656,747.8527113003656,747.8527113003656,748.3552425000817,j,0.49991359980776906,None,right,1,8,5,4,65,5,None,96.51393699971959,96.51429029973224,748.3556817001663,748.3708480000496,748.3708480000496,749.3698380002752,749.3698380002752,749.3545948001556,97.51327529968694,97.51331879990175,749.3630126002245,749.3698380002752,749.3698380002752,750.3695857999846,750.3695857999846,750.3541542002931,stimuli/box_empty_transparent.png,98.51281409990042,98.51285129971802,750.3542433003895,750.3695857999846,751.8706152001396,751.8536340002902,100.01228959998116,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
20,0,20,space,23.511701200157404,None,5,2.8643253999762237,None,100.0139658995904,k,0.3032402000389993,None,None,100.34693959960714,100.3472569999285,102.3460714998655,102.34610879980028,103.34595689969137,103.34599499963224,105.34574849996716,,,,,,,2,0,2,0,20,0,20,0,751.8706152001396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0139658995904,751.8553590001538,751.8706152001396,751.8706152001396,751.8706152001396,751.8706152001396,752.1882436000742,k,0.3032402000389993,None,right,1,8,6,4,66,6,None,100.34693959960714,100.3472569999285,752.1886471002363,752.2031664000824,752.2031664000824,754.2032016003504,754.2032016003504,754.1873942003585,102.3460714998655,102.34610879980028,754.1973609002307,754.2032016003504,754.2032016003504,755.2028993000276,755.2028993000276,755.1872954000719,stimuli/box_coin_transparent.png,103.34595689969137,103.34599499963224,755.1873890999705,755.2028993000276,757.2030710000545,757.187094300054,105.34574849996716,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
21,0,21,space,23.511701200157404,None,5,2.8643253999762237,None,105.34718359960243,k,0.3278602999635041,None,None,105.69548729993403,105.69572689989582,108.69605749985203,108.69609519978985,109.69552099984139,109.69555899966508,111.19566079974174,,,,,,,2,0,2,0,21,0,21,0,757.2030710000545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.34718359960243,757.1885761003941,757.2030710000545,757.2030710000545,757.2030710000545,757.2030710000545,757.5367805003189,k,0.3278602999635041,None,right,1,8,7,4,67,7,None,105.69548729993403,105.69572689989582,757.5371155999601,757.5533886002377,757.5533886002377,760.5528093003668,760.5528093003668,760.5373837002553,108.69605749985203,108.69609519978985,760.5474100001156,760.5528093003668,760.5528093003668,761.5526386001147,761.5526386001147,761.5368619002402,stimuli/box_coin_transparent.png,109.69552099984139,109.69555899966508,761.5369510003366,761.5526386001147,763.0539870001376,763.0370033001527,111.19566079974174,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
22,0,22,space,23.511701200157404,None,5,2.8643253999762237,None,111.19722219975665,k,0.4906783001497388,None,None,111.7132953000255,111.7136059999466,113.2280172999017,113.22806029999629,114.228494099807,114.22853469988331,116.22837749961764,,,,,,,2,0,2,0,22,0,22,0,763.0539870001376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.19722219975665,763.0386137999594,763.0539870001376,763.0539870001376,763.0539870001376,763.0539870001376,763.5545831001364,k,0.4906783001497388,None,right,1,8,8,4,68,8,None,111.7132953000255,111.7136059999466,763.5550015000626,763.5702507002279,763.5702507002279,765.0882338001393,765.0882338001393,765.0693422001787,113.2280172999017,113.22806029999629,765.0817978000268,765.0882338001393,765.0882338001393,,,766.0698312004097,stimuli/box_coin_transparent.png,114.228494099807,114.22853469988331,766.0699241999537,766.086127600167,768.086770800408,768.0697223003954,116.22837749961764,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
23,0,23,space,23.511701200157404,None,5,2.8643253999762237,None,116.22989529976621,k,0.44539540028199553,None,None,116.69660979975015,116.69694199971855,118.19593549985439,118.19597369991243,119.19479270000011,119.19482419965789,120.69423649972305,,,,,,,2,0,2,0,23,0,23,0,768.086770800408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.22989529976621,768.0712872003205,768.086770800408,768.086770800408,768.086770800408,768.086770800408,768.5379000999965,k,0.44539540028199553,None,left,1,14,0,5,68,8,None,116.69660979975015,116.69694199971855,768.538338500075,768.5536039001308,768.5536039001308,770.0526018999517,770.0526018999517,770.0372621002607,118.19593549985439,118.19597369991243,770.0455839000642,770.0526018999517,770.0526018999517,771.051684200298,771.051684200298,771.0361383999698,stimuli/box_empty_transparent.png,119.19479270000011,119.19482419965789,771.0362099003978,771.051684200298,772.5518770003691,772.5355807002634,120.69423649972305,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
24,0,24,space,23.511701200157404,None,5,2.8643253999762237,None,120.69588979985565,k,0.5715361000038683,None,None,121.29545779991895,121.29582390002906,123.29523309972137,123.29527030000463,124.29445969965309,124.294496699702,125.79475039988756,,,,,,,2,0,2,0,24,0,24,0,772.5518770003691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.69588979985565,772.5372850000858,772.5518770003691,772.5518770003691,772.5518770003691,772.5518770003691,773.1367313000374,k,0.5715361000038683,None,left,1,14,0,5,68,8,None,121.29545779991895,121.29582390002906,773.137230399996,773.1520120999776,773.1520120999776,775.1522319000214,775.1522319000214,775.136559900362,123.29523309972137,123.29527030000463,775.1450327001512,775.1522319000214,775.1522319000214,776.151327600237,776.151327600237,776.1357983001508,stimuli/box_empty_transparent.png,124.29445969965309,124.294496699702,776.1358907003887,776.151327600237,777.6524754003622,777.6360963000916,125.79475039988756,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
25,0,25,space,23.511701200157404,None,5,2.8643253999762237,None,125.79621629975736,k,0.581298700068146,None,None,126.39621119992808,126.39647779986262,127.39516379963607,127.39520099991933,128.39546839985996,128.3955014999956,131.89476209972054,,,,,,,2,0,2,0,25,0,25,0,777.6524754003622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.79621629975736,777.6376106003299,777.6524754003622,777.6524754003622,777.6524754003622,777.6524754003622,778.2375153000467,k,0.581298700068146,None,left,1,14,0,5,68,8,None,126.39621119992808,126.39647779986262,778.2378669003956,778.2525178003125,778.2525178003125,779.252361100167,779.252361100167,779.2364898002706,127.39516379963607,127.39520099991933,779.2446030001156,779.252361100167,779.252361100167,,,780.2368103000335,stimuli/box_empty_transparent.png,128.39546839985996,128.3955014999956,780.236891000066,780.2524757999927,783.7528083999641,783.7361073000357,131.89476209972054,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
26,0,26,space,23.511701200157404,None,5,2.8643253999762237,None,131.8964105998166,k,0.32521399995312095,None,None,132.24638139968738,132.24665489979088,132.745230499655,132.7452690997161,133.74495099997148,133.74498649965972,137.2447231998667,,,,,,,2,0,2,0,26,0,26,0,783.7528083999641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8964105998166,783.7378027001396,783.7528083999641,783.7528083999641,783.7528083999641,783.7528083999641,784.0876691001467,k,0.32521399995312095,None,left,1,14,0,5,68,8,None,132.24638139968738,132.24665489979088,784.0880444999784,784.1028888002038,784.1028888002038,784.6022344003431,784.6022344003431,784.5865570004098,132.745230499655,132.7452690997161,784.5950600001961,784.6022344003431,784.6022344003431,785.6020146002993,785.6020146002993,785.5862902002409,stimuli/box_empty_transparent.png,133.74495099997148,133.74498649965972,785.5863777003251,785.6020146002993,789.1021063001826,789.0860649002716,137.2447231998667,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
27,0,27,space,23.511701200157404,None,5,2.8643253999762237,None,137.24626079993322,k,0.29702499974519014,None,None,137.56210249988362,137.56236410001293,139.06160919973627,139.06164809968323,140.06195769971237,140.0619981996715,141.0601719999686,,,,,,,2,0,2,0,27,0,27,0,789.1021063001826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.24626079993322,789.0876526003703,789.1021063001826,789.1021063001826,789.1021063001826,789.1021063001826,789.4034080002457,k,0.29702499974519014,None,left,1,14,0,5,68,8,None,137.56210249988362,137.56236410001293,789.4037525001913,789.4192298003472,789.4192298003472,790.9186916002072,790.9186916002072,790.9029358001426,139.06160919973627,139.06164809968323,790.9111621002667,790.9186916002072,790.9186916002072,791.9183453000151,791.9183453000151,791.9032976003364,stimuli/box_empty_transparent.png,140.06195769971237,140.0619981996715,791.9034008001909,791.9183453000151,792.9183879001066,792.9015162000433,141.0601719999686,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
28,0,28,space,23.511701200157404,None,5,2.8643253999762237,None,141.06191119970754,j,0.3892799001187086,None,None,141.47792989993468,141.4782634000294,142.4781501996331,142.47819860000163,143.4781930996105,143.4782233997248,146.97645479999483,,,,,,,2,0,2,0,28,0,28,0,792.9183879001066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.06191119970754,792.9033302003518,792.9183879001066,792.9183879001066,792.9183879001066,792.9183879001066,793.3192170001566,j,0.3892799001187086,None,left,1,14,1,5,69,9,None,141.47792989993468,141.4782634000294,793.3196563003585,793.3347779000178,793.3347779000178,794.3355740001425,794.3355740001425,794.3194699003361,142.4781501996331,142.47819860000163,794.3301911000162,794.3355740001425,794.3355740001425,795.3349821004085,795.3349821004085,795.3195379003882,stimuli/box_coin_transparent.png,143.4781930996105,143.4782233997248,795.3196090999991,795.3349821004085,798.8345714001916,798.8177936002612,146.97645479999483,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
29,0,29,space,23.511701200157404,None,5,2.8643253999762237,None,146.97855859994888,j,0.4771194001659751,None,None,147.478280399926,147.4786741998978,149.47812979994342,149.47816739976406,150.47794829960912,150.47798440000042,151.4774598996155,,,,,,,2,0,2,0,29,0,29,0,798.8345714001916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.97855859994888,798.8199632000178,798.8345714001916,798.8345714001916,798.8345714001916,798.8345714001916,799.3195671001449,j,0.4771194001659751,None,left,1,14,2,5,70,10,None,147.478280399926,147.4786741998978,799.3200726001523,799.334789399989,799.334789399989,801.334902100265,801.334902100265,801.3194562001154,149.47812979994342,149.47816739976406,801.3292702999897,801.334902100265,801.334902100265,802.3350017000921,802.3350017000921,802.3192700003274,stimuli/box_coin_transparent.png,150.47794829960912,150.47798440000042,802.3193779001012,802.3350017000921,803.335743600037,803.3188034002669,151.4774598996155,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
30,0,30,space,23.511701200157404,None,5,2.8643253999762237,None,151.47926579974592,j,0.4651910001412034,None,None,151.96227899985388,151.96260219998658,152.97671599965543,152.97676749993116,153.9766523996368,153.97669639997184,154.97740740003064,,,,,,,2,0,2,0,30,0,30,0,803.335743600037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.47926579974592,803.320657600183,803.335743600037,803.335743600037,803.335743600037,803.335743600037,803.8035806003027,j,0.4651910001412034,None,left,0,14,2,5,71,10,None,151.96227899985388,151.96260219998658,803.8039912004024,803.819005000405,803.819005000405,804.8348942999728,804.8348942999728,804.8180261002854,152.97671599965543,152.97676749993116,804.8271950003691,804.8348942999728,804.8348942999728,805.8338475003839,805.8338475003839,805.8179875002243,stimuli/box_empty_transparent.png,153.9766523996368,153.97669639997184,805.8180982000194,805.8338475003839,806.8350440002978,806.8187536001205,154.97740740003064,,,,,,,,,,,,,,,,555555,right,no,None,2025-05-15_11h51.28.385,RL_out-of-scanner,2024.2.4,59.83996389656814,2025-05-15 11h51.44.491690 -0500,
