thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,coins_won_text.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
8,0,8,space,2.55885409982875,None,5,4.078784499783069,None,40.3341254000552,k,0.2459909999743104,None,None,40.59975489974022,40.60006439965218,43.599302999675274,43.599346299655735,44.59759229980409,44.597629599738866,46.10197909967974,,,,,,,0,0,0,0,8,0,8,0,125.43461610004306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3341254000552,125.42077679978684,125.43461610004306,125.43461610004306,125.43461610004306,125.43461610004306,125.6862929998897,k,0.2459909999743104,None,right,1,15,4,0,5,4,None,40.59975489974022,40.60006439965218,125.68671200005338,125.70118650002405,125.70118650002405,128.70134649984539,128.70134649984539,128.6858540000394,43.599302999675274,43.599346299655735,128.6958181997761,128.70134649984539,128.70134649984539,129.69994390010834,129.69994390010834,129.68418309977278,stimuli/box_coin_transparent.png,44.59759229980409,44.597629599738866,129.68427600013092,129.69994390010834,131.20109360013157,131.18857559980825,46.10197909967974,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
9,0,9,space,2.55885409982875,None,5,4.078784499783069,None,46.10374980000779,k,0.3117758999578655,None,None,46.43238619994372,46.43264849996194,47.93115019984543,47.931192100048065,48.93183759972453,48.93187869992107,50.93102619983256,,,,,,,0,0,0,0,9,0,9,0,131.20109360013157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.10374980000779,131.19040009984747,131.20109360013157,131.20109360013157,131.20109360013157,131.20109360013157,131.5189422001131,k,0.3117758999578655,None,right,1,15,5,0,6,5,None,46.43238619994372,46.43264849996194,131.51928979996592,131.53481099987403,131.53481099987403,133.0342321000062,133.0342321000062,133.01772159989923,47.93115019984543,47.931192100048065,133.02825560001656,133.0342321000062,133.0342321000062,,,134.0184269999154,stimuli/box_coin_transparent.png,48.93183759972453,48.93187869992107,134.01853040000424,134.03411469981074,136.03462840011343,136.01762200007215,50.93102619983256,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
10,0,10,space,2.55885409982875,None,5,4.078784499783069,None,50.9326080000028,k,0.4430321999825537,None,None,51.39868379989639,51.398962900042534,52.89883349975571,52.89887799974531,53.89815399982035,53.89818609971553,54.898354599718004,,,,,,,0,0,0,0,10,0,10,0,136.03462840011343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9326080000028,136.01925189979374,136.03462840011343,136.03462840011343,136.03462840011343,136.03462840011343,136.48523639980704,k,0.4430321999825537,None,right,1,15,6,0,7,6,None,51.39868379989639,51.398962900042534,136.48560489993542,136.50134299974889,136.50134299974889,138.0009869998321,138.0009869998321,137.98540830006823,52.89883349975571,52.89887799974531,137.99595459969714,138.0009869998321,138.0009869998321,139.00071669975296,139.00071669975296,138.9847494000569,stimuli/box_coin_transparent.png,53.89815399982035,53.89818609971553,138.98482490004972,139.00071669975296,140.00081240013242,139.98495130008087,54.898354599718004,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
11,0,11,space,2.55885409982875,None,5,4.078784499783069,None,54.90015439968556,k,0.26798109989613295,None,None,55.198960199952126,55.19922489998862,57.198195199947804,57.19823829969391,58.19816209981218,58.19819379970431,59.69793700007722,,,,,,,0,0,0,0,11,0,11,0,140.00081240013242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.90015439968556,139.98680429998785,140.00081240013242,140.00081240013242,140.00081240013242,140.00081240013242,140.28551289997995,k,0.26798109989613295,None,right,1,15,7,0,8,7,None,55.198960199952126,55.19922489998862,140.28586630010977,140.30118629988283,140.30118629988283,142.30037919990718,142.30037919990718,142.28476470010355,57.198195199947804,57.19823829969391,142.29491779999807,142.30037919990718,142.30037919990718,143.30041710007936,143.30041710007936,143.2847579997033,stimuli/box_coin_transparent.png,58.19816209981218,58.19819379970431,143.28483359981328,143.30041710007936,144.80074930004776,144.78453589975834,59.69793700007722,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
12,0,12,space,2.55885409982875,None,5,4.078784499783069,None,59.699454199988395,k,0.27895900001749396,None,None,59.99862609989941,59.998947700019926,60.99854200007394,60.99858789984137,62.01346529973671,62.013505099806935,65.01435389975086,,,,,,,0,0,0,0,12,0,12,0,144.80074930004776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.699454199988395,144.7860983000137,144.80074930004776,144.80074930004776,144.80074930004776,144.80074930004776,145.0851650997065,k,0.27895900001749396,None,right,1,15,8,0,9,8,None,59.99862609989941,59.998947700019926,145.0855950997211,145.10073099983856,145.10073099983856,146.10118070011958,146.10118070011958,146.08511559991166,60.99854200007394,60.99858789984137,146.09535619989038,146.10118070011958,146.10118070011958,,,147.10005120001733,stimuli/box_coin_transparent.png,62.01346529973671,62.013505099806935,147.1001523998566,147.116118399892,150.1183330998756,150.10094919987023,65.01435389975086,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
13,0,13,space,2.55885409982875,None,5,4.078784499783069,None,65.01596149988472,k,0.2776407999917865,None,None,65.31555609963834,65.31582009978592,65.8149133999832,65.81495240004733,66.81499919993803,66.81503219995648,68.83072579978034,,,,,,,0,0,0,0,13,0,13,0,150.1183330998756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.01596149988472,150.10260540014133,150.1183330998756,150.1183330998756,150.1183330998756,150.1183330998756,150.40211080014706,k,0.2776407999917865,None,right,0,15,8,0,10,8,None,65.31555609963834,65.31582009978592,150.40246130013838,150.41782840015367,150.41782840015367,150.91704430012032,150.91704430012032,150.9014914999716,65.8149133999832,65.81495240004733,150.90979800000787,150.91704430012032,150.91704430012032,151.9169898997061,151.9169898997061,151.9015951999463,stimuli/box_empty_transparent.png,66.81499919993803,66.81503219995648,151.90167129971087,151.9169898997061,153.9343556999229,153.91732520004734,68.83072579978034,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
14,0,14,space,2.55885409982875,None,5,4.078784499783069,None,68.83228489989415,k,0.908037000335753,None,None,69.764669300057,69.7649324000813,71.26448850007728,71.26453389972448,72.2646983996965,72.26473379973322,73.26291289972141,,,,,,,0,0,0,0,14,0,14,0,153.9343556999229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.83228489989415,153.91892899991944,153.9343556999229,153.9343556999229,153.9343556999229,153.9343556999229,154.8512260997668,k,0.908037000335753,None,right,1,15,9,0,11,9,None,69.764669300057,69.7649324000813,154.8515737997368,154.8669376000762,154.8669376000762,156.36680179974064,156.36680179974064,156.3510583001189,71.26448850007728,71.26453389972448,156.36120999976993,156.36680179974064,156.36680179974064,,,157.35128179984167,stimuli/box_coin_transparent.png,72.2646983996965,72.26473379973322,157.35137759987265,157.36599730001763,158.36625370010734,158.34950689971447,73.26291289972141,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
15,0,15,space,2.55885409982875,None,5,4.078784499783069,None,73.26515389978886,k,0.2656311998143792,None,None,73.54805509978905,73.54831849969923,74.54762979969382,74.54766679974273,75.54818509984761,75.54822169989347,77.54732629982755,,,,,,,0,0,0,0,15,0,15,0,158.36625370010734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.26515389978886,158.3518117000349,158.36625370010734,158.36625370010734,158.36625370010734,158.36625370010734,158.63461249973625,k,0.2656311998143792,None,right,0,15,9,0,12,9,None,73.54805509978905,73.54831849969923,158.6349598998204,158.64984819991514,158.64984819991514,159.65093269990757,159.65093269990757,159.63420919980854,74.54762979969382,74.54766679974273,159.64237560005859,159.65093269990757,159.65093269990757,160.65030839992687,160.65030839992687,160.63477759994566,stimuli/box_empty_transparent.png,75.54818509984761,75.54822169989347,160.63486600015312,160.65030839992687,162.65012300014496,162.63392159994692,77.54732629982755,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
16,0,16,space,2.55885409982875,None,5,4.078784499783069,None,77.54920329991728,j,0.326986700296402,None,None,77.89860409963876,77.89899830007926,79.89787200000137,79.89791699964553,80.89739990001544,80.89743749983609,81.89784569991753,,,,,,,0,0,0,0,16,0,16,0,162.65012300014496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.54920329991728,162.6358545999974,162.65012300014496,162.65012300014496,162.65012300014496,162.65012300014496,162.98514339979738,j,0.326986700296402,None,right,0,15,9,0,12,9,None,77.89860409963876,77.89899830007926,162.98564729979262,163.0005316999741,163.0005316999741,164.9997486998327,164.9997486998327,164.98444049991667,79.89787200000137,79.89791699964553,164.99281889991835,164.9997486998327,164.9997486998327,165.9997537001036,165.9997537001036,165.9839931000024,stimuli/box_empty_transparent.png,80.89739990001544,80.89743749983609,165.98408540012315,165.9997537001036,166.99999589985237,166.98444079980254,81.89784569991753,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
17,0,17,space,2.55885409982875,None,5,4.078784499783069,None,81.89932619966567,j,0.32436309987679124,None,None,82.24871909990907,82.24912279983982,83.24784579966217,83.24789029965177,84.24652229994535,84.2465590997599,85.2475755000487,,,,,,,0,0,0,0,17,0,17,0,166.99999589985237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.89932619966567,166.9859699998051,166.99999589985237,166.99999589985237,166.99999589985237,166.99999589985237,167.3352592997253,j,0.32436309987679124,None,right,0,15,9,0,12,9,None,82.24871909990907,82.24912279983982,167.33577209990472,167.35050769988447,167.35050769988447,168.34994529979303,168.34994529979303,168.33441879972816,83.24784579966217,83.24789029965177,168.34292630013078,168.34994529979303,168.34994529979303,169.34872320014983,169.34872320014983,169.3331157998182,stimuli/box_empty_transparent.png,84.24652229994535,84.2465590997599,169.33320550015196,169.34872320014983,170.3500767000951,170.33417569985613,85.2475755000487,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
18,0,18,space,2.55885409982875,None,5,4.078784499783069,None,85.24902029987425,j,0.3480921001173556,None,None,85.61526189977303,85.61569599993527,89.11420419998467,89.11424209969118,90.11401750007644,90.11405989993364,92.11363509995863,,,,,,,0,0,0,0,18,0,18,0,170.3500767000951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.24902029987425,170.33566429978237,170.3500767000951,170.3500767000951,170.3500767000951,170.3500767000951,170.70181800005957,j,0.3480921001173556,None,right,0,15,9,0,12,9,None,85.61526189977303,85.61569599993527,170.7023398997262,170.71649509994313,170.71649509994313,174.21628989977762,174.21628989977762,174.20078099984676,89.11420419998467,89.11424209969118,174.20904350001365,174.21628989977762,174.21628989977762,175.2152987997979,175.2152987997979,175.20060000009835,stimuli/box_empty_transparent.png,90.11401750007644,90.11405989993364,175.20070459973067,175.2152987997979,177.21679090010002,177.20023520011455,92.11363509995863,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
19,0,19,space,2.55885409982875,None,5,4.078784499783069,None,92.11514610005543,k,0.26698199985548854,None,None,92.41415129974484,92.41445009969175,93.41413359995931,93.41417100001127,94.41409689979628,94.41413250006735,95.9123794999905,,,,,,,0,0,0,0,19,0,19,0,177.21679090010002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.11514610005543,177.20179029973224,177.21679090010002,177.21679090010002,177.21679090010002,177.21679090010002,177.50069739995524,k,0.26698199985548854,None,right,0,15,9,0,13,9,None,92.41415129974484,92.41445009969175,177.50109599996358,177.51580310007557,177.51580310007557,178.5159001997672,178.5159001997672,178.50071359984577,93.41413359995931,93.41417100001127,178.50898909987882,178.5159001997672,178.5159001997672,179.51609859988093,179.51609859988093,179.50068920012563,stimuli/box_empty_transparent.png,94.41409689979628,94.41413250006735,179.50077629974112,179.51609859988093,181.01543639972806,180.99897569976747,95.9123794999905,,,,,,,,,,,,,,,,,44444,right,no,None,2025-05-15_09h57.44.615,RL_out-of-scanner,2024.2.4,59.53794966579882,2025-05-15 09h57.59.412237 -0500,
