thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,space,31.22362730000168,None,5,18.504495300119743,None,46.71481300005689,j,0.5864526000805199,None,None,47.330580099951476,47.33105539996177,48.84473090013489,48.84478450007737,49.85968260001391,49.85973079991527,51.87531529995613,,,,,,,0,0,0,0,9,0,9,0,307.93637110013515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.71481300005689,307.9224316000473,307.93637110013515,307.93637110013515,307.93637110013515,307.93637110013515,308.5380371999927,j,0.5864526000805199,None,right,1,9,4,0,5,4,None,47.330580099951476,47.33105539996177,308.53866340010427,308.55283259996213,308.55283259996213,310.0738872999791,310.0738872999791,310.0522281001322,48.84473090013489,48.84478450007737,310.06647710013203,310.0738872999791,310.0738872999791,311.0672081001103,stimuli/box_empty_transparent.png,49.85968260001391,49.85973079991527,311.0673307001125,311.0832557999529,313.09906279994175,313.08284300006926,51.87531529995613,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
10,0,10,space,31.22362730000168,None,5,18.504495300119743,None,51.87771790008992,j,0.8304173999931663,None,None,52.72624729992822,52.72669819998555,54.24075170001015,54.24080549995415,55.25579770002514,55.255845200037584,56.25464539998211,,,,,,,0,0,0,0,10,0,10,0,313.09906279994175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.87771790008992,313.08533770008944,313.09906279994175,313.09906279994175,313.09906279994175,313.09906279994175,313.93370379996486,j,0.8304173999931663,None,right,1,9,4,0,5,4,None,52.72624729992822,52.72669819998555,313.9343063000124,313.9483972999733,313.9483972999733,315.46958449995145,315.46958449995145,315.4482436000835,54.24075170001015,54.24080549995415,315.462581000058,315.46958449995145,315.46958449995145,316.46332260011695,stimuli/box_empty_transparent.png,55.25579770002514,55.255845200037584,316.4634487000294,316.4791654001456,317.4786356999539,317.46218700008467,56.25464539998211,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
11,0,11,space,31.22362730000168,None,5,18.504495300119743,None,56.256571100093424,k,0.36813260009512305,None,None,56.65671869996004,56.6571152000688,58.66976600000635,58.669801800046116,59.685135500039905,59.68518429994583,61.20095460000448,,,,,,,0,0,0,0,11,0,11,0,317.4786356999539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.256571100093424,317.4641710999422,317.4786356999539,317.4786356999539,317.4786356999539,317.4786356999539,317.86417219997384,k,0.36813260009512305,None,right,1,9,5,0,6,5,None,56.65671869996004,56.6571152000688,317.8647559999954,317.8785675999243,317.8785675999243,319.894686399959,319.894686399959,319.8772845999338,58.66976600000635,58.669801800046116,319.88757469994016,319.894686399959,319.894686399959,320.8926594001241,stimuli/box_coin_transparent.png,59.685135500039905,59.68518429994583,320.8927857999224,320.90877690003254,322.4246678999625,322.40848270012066,61.20095460000448,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
12,0,12,space,31.22362730000168,None,5,18.504495300119743,None,61.20343050011434,k,0.24432140006683767,None,None,61.46911299997009,61.4695333999116,62.46737530012615,62.46743730013259,63.482358400011435,63.48240670002997,66.49688090011477,,,,,,,0,0,0,0,12,0,12,0,322.4246678999625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.20343050011434,322.41104979999363,322.4246678999625,322.4246678999625,322.4246678999625,322.4246678999625,322.6765668001026,k,0.24432140006683767,None,right,0,9,5,0,7,5,None,61.46911299997009,61.4695333999116,322.6771438999567,322.6913193000946,322.6913193000946,323.69689389993437,323.69689389993437,323.6748695001006,62.46737530012615,62.46743730013259,323.68951690010726,323.69689389993437,323.69689389993437,324.6898825999815,stimuli/box_empty_transparent.png,63.482358400011435,63.48240670002997,324.69001010013744,324.70629770006053,327.72066500014625,327.70441460004076,66.49688090011477,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
13,0,13,space,31.22362730000168,None,5,18.504495300119743,None,66.49837679998018,j,0.2457041998859495,None,None,66.76512570003979,66.76561790006235,67.26329150004312,67.26334620011039,68.27836799994111,68.27841749996878,70.293634200003,,,,,,,0,0,0,0,13,0,13,0,327.72066500014625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.49837679998018,327.70597809995525,327.72066500014625,327.72066500014625,327.72066500014625,327.72066500014625,327.9725792000536,j,0.2457041998859495,None,right,0,9,5,0,7,5,None,66.76512570003979,66.76561790006235,327.9732276001014,327.98705939995125,327.98705939995125,328.4918722999282,328.4918722999282,328.47078380011953,67.26329150004312,67.26334620011039,328.4851057000924,328.4918722999282,328.4918722999282,329.48588660010137,stimuli/box_empty_transparent.png,68.27836799994111,68.27841749996878,329.48601959994994,329.50201950012706,331.51739150006324,331.501165300142,70.293634200003,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
14,0,14,space,31.22362730000168,None,5,18.504495300119743,None,70.29647780000232,j,0.25531120016239583,None,None,70.5787222001236,70.57921579992399,72.09290980012156,72.09296580008231,73.10772800003178,73.10777599993162,74.10739049990661,,,,,,,0,0,0,0,14,0,14,0,331.51739150006324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.29647780000232,331.50410280004144,331.51739150006324,331.51739150006324,331.51739150006324,331.51739150006324,331.78617680002935,j,0.25531120016239583,None,right,0,9,5,0,7,5,None,70.5787222001236,70.57921579992399,331.7868326001335,331.80110109993257,331.80110109993257,333.3215419999324,333.3215419999324,333.3003958000336,72.09290980012156,72.09296580008231,333.3142327000387,333.3215419999324,333.3215419999324,334.31525250012055,stimuli/box_empty_transparent.png,73.10772800003178,73.10777599993162,334.3153758000117,334.33110800012946,335.3311457000673,335.3149224000517,74.10739049990661,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
15,0,15,space,31.22362730000168,None,5,18.504495300119743,None,74.10988410003483,k,0.29270959994755685,None,None,74.42519670003094,74.4255955000408,75.42338900011964,75.4234438999556,76.43883819994517,76.43889049999416,78.45383909996599,,,,,,,0,0,0,0,15,0,15,0,335.3311457000673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.10988410003483,335.3175028001424,335.3311457000673,335.3311457000673,335.3311457000673,335.3311457000673,335.63265349995345,k,0.29270959994755685,None,right,1,9,6,0,8,6,None,74.42519670003094,74.4255955000408,335.63320000004023,335.6475077001378,335.6475077001378,336.65581099991687,336.65581099991687,336.63088670000434,75.42338900011964,75.4234438999556,336.6487984000705,336.65581099991687,336.65581099991687,337.6463623000309,stimuli/box_coin_transparent.png,76.43883819994517,76.43889049999416,337.64649119996466,337.662190400064,339.6775781000033,339.661370200105,78.45383909996599,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
16,0,16,space,31.22362730000168,None,5,18.504495300119743,None,78.45635430002585,k,0.3186048998031765,None,None,78.80522450013086,78.80562160001136,80.81899000005797,80.8190453001298,81.83432550006546,81.83437629998662,82.83339460007846,,,,,,,0,0,0,0,16,0,16,0,339.6775781000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.45635430002585,339.6639753000345,339.6775781000033,339.6775781000033,339.6775781000033,339.6775781000033,340.01267999992706,k,0.3186048998031765,None,right,1,9,7,0,9,7,None,78.80522450013086,78.80562160001136,340.01322730001993,340.02735060011037,340.02735060011037,342.05097780004144,342.05097780004144,342.026490499964,80.81899000005797,80.8190453001298,342.04387860000134,342.05097780004144,342.05097780004144,343.0418430001009,stimuli/box_coin_transparent.png,81.83432550006546,81.83437629998662,343.04197899997234,343.05774009996094,344.05765910004266,344.04093430005014,82.83339460007846,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
17,0,17,space,31.22362730000168,None,5,18.504495300119743,None,82.83482300001197,k,0.5087806000374258,None,None,83.36871460010298,83.36911349999718,84.38347120000981,84.38352679996751,85.39864569995552,85.3986929000821,86.39804590004496,,,,,,,0,0,0,0,17,0,17,0,344.05765910004266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.83482300001197,344.0424192000646,344.05765910004266,344.05765910004266,344.05765910004266,344.05765910004266,344.5761611999478,k,0.5087806000374258,None,right,1,9,8,0,10,8,None,83.36871460010298,83.36911349999718,344.5767194000073,344.5909955999814,344.5909955999814,345.6152916001156,345.6152916001156,345.5909613999538,84.38347120000981,84.38352679996751,345.6080128001049,345.6152916001156,345.6152916001156,346.606166300131,stimuli/box_coin_transparent.png,85.39864569995552,85.3986929000821,346.6062942999415,346.62177839991637,347.6217700999696,347.6055723999161,86.39804590004496,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
18,0,18,space,31.22362730000168,None,5,18.504495300119743,None,86.4004438999109,j,0.7810323000885546,None,None,87.19900980009697,87.19946029991843,90.71222679992206,90.71227920008823,91.72645099996589,91.72649740008637,93.74123689997941,,,,,,,0,0,0,0,18,0,18,0,347.6217700999696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4004438999109,347.60806080000475,347.6217700999696,347.6217700999696,347.6217700999696,347.6217700999696,348.40646470012143,j,0.7810323000885546,None,right,1,9,8,0,10,8,None,87.19900980009697,87.19946029991843,348.4070673000533,348.42068170011044,348.42068170011044,351.9409942999482,351.9409942999482,351.91971300006844,90.71222679992206,90.71227920008823,351.9337188000791,351.9409942999482,351.9409942999482,352.9339743000455,stimuli/box_empty_transparent.png,91.72645099996589,91.72649740008637,352.93409690004773,352.9498328999616,354.965702699963,354.9487735000439,93.74123689997941,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
19,0,19,space,31.22362730000168,None,5,18.504495300119743,None,93.74294580006972,k,0.37207259982824326,None,None,94.14356949995272,94.1439740001224,95.15751429996453,95.1575501000043,96.1727332000155,96.17276609991677,97.68817789992318,,,,,,,0,0,0,0,19,0,19,0,354.965702699963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.74294580006972,354.95055450010113,354.965702699963,354.965702699963,354.965702699963,354.965702699963,355.35102259996347,k,0.37207259982824326,None,right,0,9,8,0,11,8,None,94.14356949995272,94.1439740001224,355.351581200026,355.3653001000639,355.3653001000639,356.38128410000354,356.38128410000354,356.3650315999985,95.15751429996453,95.1575501000043,356.37342380010523,356.38128410000354,356.38128410000354,357.38026989996433,stimuli/box_empty_transparent.png,96.1727332000155,96.17276609991677,357.3803507001139,357.3965018999297,358.91222649998963,358.8957175000105,97.68817789992318,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
20,0,20,space,31.22362730000168,None,5,18.504495300119743,None,97.68969899998046,k,0.5313937999308109,None,None,98.23912569996901,98.23938910011202,100.25343400007114,100.25347020011395,101.26877829991281,101.26882959995419,103.28451399994083,,,,,,,0,0,0,0,20,0,20,0,358.91222649998963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.68969899998046,358.8973441000562,358.91222649998963,358.91222649998963,358.91222649998963,358.91222649998963,359.4466192999389,k,0.5313937999308109,None,right,1,9,9,0,12,9,None,98.23912569996901,98.23938910011202,359.4469761000946,359.46176870004274,359.46176870004274,361.4781866001431,361.4781866001431,361.46094819996506,100.25343400007114,100.25347020011395,361.4712265999988,361.4781866001431,361.4781866001431,362.47630110010505,stimuli/box_coin_transparent.png,101.26877829991281,101.26882959995419,362.47643329994753,362.4926088999491,364.5080852000974,364.492052400019,103.28451399994083,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
21,0,21,space,31.22362730000168,None,5,18.504495300119743,None,103.2859899001196,k,0.27643710002303123,None,None,103.58599970000796,103.58639409998432,106.59888559998944,106.59894150006585,107.61369449994527,107.61374599998817,109.1131096999161,,,,,,,0,0,0,0,21,0,21,0,364.5080852000974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2859899001196,364.4935886000749,364.5080852000974,364.5080852000974,364.5080852000974,364.5080852000974,364.79345330013894,k,0.27643710002303123,None,left,1,10,0,1,12,9,None,103.58599970000796,103.58639409998432,364.79400120000355,364.8080094999168,364.8080094999168,367.8273901999928,367.8273901999928,367.8063767000567,106.59888559998944,106.59894150006585,367.820223600138,367.8273901999928,367.8273901999928,368.8212105999701,stimuli/box_empty_transparent.png,107.61369449994527,107.61374599998817,368.8213504999876,368.8373137000017,370.3369144999888,370.3206356000155,109.1131096999161,,,,,,,,,,,,,,143158,right,no,None,2025-05-15_08h44.32.175,RL_out-of-scanner,2024.2.4,59.78651430387378,2025-05-15 08h44.42.241977 -0700,
