thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,trials.all_keys.rt,trials.all_keys.duration,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,space,5.8082773997448385,None,5,1.7034371998161077,None,51.13173480005935,k,0.2680947999469936,None,None,51.4315232001245,51.431770800147206,52.93084429996088,52.9308893000707,53.93016850017011,53.930201600305736,54.930174600332975,,,,,,,2,0,2,0,10,0,10,0,685.0277472999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13173480005935,685.0131121999584,685.0277472999878,685.0277472999878,685.0277472999878,685.0277472999878,685.3128027999774,k,0.2680947999469936,None,right,0,10,6,5,74,6,None,51.4315232001245,51.431770800147206,685.3131328001618,685.3282050001435,685.3282050001435,686.8285457999445,686.8285457999445,686.8121368000284,52.93084429996088,52.9308893000707,686.8212295998819,686.8285457999445,686.8285457999445,687.8272234001197,687.8272234001197,687.8114836001769,stimuli/box_empty_transparent.png,53.93016850017011,53.930201600305736,687.8115671998821,687.8272234001197,688.8282093000598,688.8114875997417,54.930174600332975,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
11,0,11,space,5.8082773997448385,None,5,1.7034371998161077,None,54.932184900157154,k,0.2328548999503255,None,None,55.181688600219786,55.181997099891305,57.18005320010707,57.18008890002966,58.180126999970526,58.18018230004236,59.68103440012783,,,,,,,2,0,2,0,11,0,11,0,688.8282093000598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.932184900157154,688.8135502999648,688.8282093000598,688.8282093000598,688.8282093000598,688.8282093000598,689.0629496998154,k,0.2328548999503255,None,right,1,10,7,5,75,7,None,55.181688600219786,55.181997099891305,689.0633657998405,689.0776856001467,689.0776856001467,691.0782771999948,691.0782771999948,691.0613535000011,57.18005320010707,57.18008890002966,691.0716697997414,691.0782771999948,691.0782771999948,692.0772830001079,692.0772830001079,692.061438200064,stimuli/box_coin_transparent.png,58.180126999970526,58.18018230004236,692.061548799742,692.0772830001079,693.578077999875,693.5623503997922,59.68103440012783,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
12,0,12,space,5.8082773997448385,None,5,1.7034371998161077,None,59.68256100034341,k,0.2545346999540925,None,None,59.96506950026378,59.965333700180054,60.96397879999131,60.964016899932176,61.96418090024963,61.96421639993787,64.96430040011182,,,,,,,2,0,2,0,12,0,12,0,693.578077999875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.68256100034341,693.5639244001359,693.578077999875,693.578077999875,693.578077999875,693.578077999875,693.8463451997377,k,0.2545346999540925,None,right,1,10,8,5,76,8,None,59.96506950026378,59.965333700180054,693.8466942999512,693.8617426999845,693.8617426999845,694.8613148001023,694.8613148001023,694.8452797997743,60.96397879999131,60.964016899932176,694.8558013001457,694.8613148001023,694.8613148001023,695.861031500157,695.861031500157,695.8454934000038,stimuli/box_coin_transparent.png,61.96418090024963,61.96421639993787,695.8455815999769,695.861031500157,698.8616881999187,698.845613699872,64.96430040011182,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
13,0,13,space,5.8082773997448385,None,5,1.7034371998161077,None,64.96598169999197,k,0.3605698999017477,None,None,65.34767869999632,65.34794400027022,65.8475438002497,65.84758180007339,66.84729410009459,66.847328200005,68.8458318002522,,,,,,,2,0,2,0,13,0,13,0,698.8616881999187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.96598169999197,698.8473463999107,698.8616881999187,698.8616881999187,698.8616881999187,698.8616881999187,699.2289535999298,k,0.3605698999017477,None,right,1,10,9,5,77,9,None,65.34767869999632,65.34794400027022,699.2293044999242,699.2449378999881,699.2449378999881,699.7441790001467,699.7441790001467,699.7288413001224,65.8475438002497,65.84758180007339,699.7386313001625,699.7441790001467,699.7441790001467,700.7442299998365,700.7442299998365,700.7286092997529,stimuli/box_coin_transparent.png,66.84729410009459,66.847328200005,700.7286907001399,700.7442299998365,702.7439860999584,702.7271443000063,68.8458318002522,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
14,0,14,space,5.8082773997448385,None,5,1.7034371998161077,None,68.84807169996202,k,0.26583960000425577,None,None,69.13061330001801,69.13089810032398,70.63091600034386,70.63095510005951,71.6308877998963,71.63092170003802,72.63093989994377,,,,,,,2,0,2,0,14,0,14,0,702.7439860999584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.84807169996202,702.72944979975,702.7439860999584,702.7439860999584,702.7439860999584,702.7439860999584,703.0118762999773,k,0.26583960000425577,None,right,0,10,9,5,78,9,None,69.13061330001801,69.13089810032398,703.0122635001317,703.0273095997982,703.0273095997982,704.5275511997752,704.5275511997752,704.5122132999822,70.63091600034386,70.63095510005951,704.5205255998299,704.5275511997752,704.5275511997752,705.5276540997438,705.5276540997438,705.5122015997767,stimuli/box_empty_transparent.png,71.6308877998963,71.63092170003802,705.5122838001698,705.5276540997438,706.5309795001522,706.5122587000951,72.63093989994377,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
15,0,15,space,5.8082773997448385,None,5,1.7034371998161077,None,72.63244839990512,k,0.5706545999273658,None,None,73.23174230009317,73.23205529991537,74.23084740014747,74.23088650032878,75.22949560033157,75.22952460031956,77.22991809993982,,,,,,,2,0,2,0,15,0,15,0,706.5309795001522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.63244839990512,706.5138118998148,706.5309795001522,706.5309795001522,706.5309795001522,706.5309795001522,707.1130178999156,k,0.5706545999273658,None,right,1,10,10,5,79,10,None,73.23174230009317,73.23205529991537,707.1134179998189,707.127886199858,707.127886199858,708.1275852997787,708.1275852997787,708.112144799903,74.23084740014747,74.23088650032878,708.1226356001571,708.1275852997787,708.1275852997787,709.1264726999216,709.1264726999216,709.1108128000051,stimuli/box_coin_transparent.png,75.22949560033157,75.22952460031956,709.1108830999583,709.1264726999216,711.1277185999788,711.1112377997488,77.22991809993982,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
16,0,16,space,5.8082773997448385,None,5,1.7034371998161077,None,77.2313617002219,k,0.3249081000685692,None,None,77.58039980009198,77.58063590014353,79.58077799994498,79.5808194000274,80.57952979998663,80.57957629999146,81.5787589000538,,,,,,,2,0,2,0,16,0,16,0,711.1277185999788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2313617002219,711.1127251000144,711.1277185999788,711.1277185999788,711.1277185999788,711.1277185999788,711.4616779000498,k,0.3249081000685692,None,left,1,9,0,6,79,10,None,77.58039980009198,77.58063590014353,711.4619971001521,711.4770999997854,711.4770999997854,713.4774909000844,713.4774909000844,713.4620729000308,79.58077799994498,79.5808194000274,713.4703675997443,713.4774909000844,713.4774909000844,714.4768352997489,714.4768352997489,714.4608359998092,stimuli/box_empty_transparent.png,80.57952979998663,80.57957629999146,714.4609515001066,714.4768352997489,715.4800784001127,715.4600800997578,81.5787589000538,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
17,0,17,space,5.8082773997448385,None,5,1.7034371998161077,None,81.58028250001371,k,0.2385766999796033,None,None,81.84703660011292,81.84735430032015,82.84725970029831,82.84730240004137,83.84709209995344,83.84712960012257,84.84669629996642,,,,,,,2,0,2,0,17,0,17,0,715.4800784001127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.58028250001371,715.4616479999386,715.4800784001127,715.4800784001127,715.4800784001127,715.4800784001127,715.7282969998196,k,0.2385766999796033,None,left,1,9,0,6,79,10,None,81.84703660011292,81.84735430032015,715.7287233998068,715.7441563000903,715.7441563000903,716.7439184999093,716.7439184999093,716.7285492001101,82.84725970029831,82.84730240004137,716.7369528999552,716.7439184999093,716.7439184999093,717.7441803999245,717.7441803999245,717.7284038998187,stimuli/box_empty_transparent.png,83.84709209995344,83.84712960012257,717.7284971000627,717.7441803999245,718.744587500114,718.7280147997662,84.84669629996642,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
18,0,18,space,5.8082773997448385,None,5,1.7034371998161077,None,84.84817739995196,j,0.2837650002911687,None,None,85.16480660019442,85.16518010012805,88.66356060001999,88.66360739991069,89.66359210014343,89.6636227001436,91.66351230023429,,,,,,,2,0,2,0,18,0,18,0,718.744587500114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.84817739995196,718.7295409999788,718.744587500114,718.744587500114,718.744587500114,718.744587500114,719.0460824999027,j,0.2837650002911687,None,left,1,9,1,6,80,11,None,85.16480660019442,85.16518010012805,719.0465438999236,719.0609621000476,719.0609621000476,722.560434400104,722.560434400104,722.544850199949,88.66356060001999,88.66360739991069,722.5552012999542,722.560434400104,722.560434400104,723.5600768998265,723.5600768998265,723.5449076998048,stimuli/box_coin_transparent.png,89.66359210014343,89.6636227001436,723.544982700143,723.5600768998265,725.5602660998702,725.54483109992,91.66351230023429,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
19,0,19,space,5.8082773997448385,None,5,1.7034371998161077,None,91.66498660016805,j,0.38439830020070076,None,None,92.08130820002407,92.08163460018113,93.07905780011788,93.07909440016374,94.08028690004721,94.08031910005957,95.57946200016886,,,,,,,2,0,2,0,19,0,19,0,725.5602660998702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66498660016805,725.5463502998464,725.5602660998702,725.5602660998702,725.5602660998702,725.5602660998702,725.9625854999758,j,0.38439830020070076,None,left,1,9,2,6,81,12,None,92.08130820002407,92.08163460018113,725.9629958998412,725.9774889000691,725.9774889000691,726.9769413000904,726.9769413000904,726.9603590997867,93.07905780011788,93.07909440016374,726.9716229997575,726.9769413000904,726.9769413000904,,,727.9615910998546,stimuli/box_coin_transparent.png,94.08028690004721,94.08031910005957,727.9616827000864,727.97697660001,729.47724869987,729.4607812999748,95.57946200016886,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
20,0,20,space,5.8082773997448385,None,5,1.7034371998161077,None,95.58094960032031,j,0.41390469996258616,None,None,96.0135860000737,96.0139746000059,98.0136311003007,98.01366910012439,99.01212060032412,99.01215599989519,101.01320060016587,,,,,,,2,0,2,0,20,0,20,0,729.47724869987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.58094960032031,729.4623128999956,729.47724869987,729.47724869987,729.47724869987,729.47724869987,729.8948556999676,j,0.41390469996258616,None,left,0,9,2,6,82,12,None,96.0135860000737,96.0139746000059,729.8953423001803,729.9102448001504,729.9102448001504,731.9102725000121,731.9102725000121,731.894929499831,98.0136311003007,98.01366910012439,731.9031275999732,731.9102725000121,731.9102725000121,732.909131700173,732.909131700173,732.8934339997359,stimuli/box_empty_transparent.png,99.01212060032412,99.01215599989519,732.8935217000544,732.909131700173,734.910530500114,734.8945213998668,101.01320060016587,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
21,0,21,space,5.8082773997448385,None,5,1.7034371998161077,None,101.01477209990844,k,0.3768794001080096,None,None,101.41478489991277,101.41508830012754,104.41263610031456,104.41268109995872,105.4119196003303,105.41195490024984,106.91239430010319,,,,,,,2,0,2,0,21,0,21,0,734.910530500114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.01477209990844,734.8961355998181,734.910530500114,734.910530500114,734.910530500114,734.910530500114,735.2960537001491,k,0.3768794001080096,None,left,0,9,2,6,82,12,None,101.41478489991277,101.41508830012754,735.2964539998211,735.3103525000624,735.3103525000624,738.3099968000315,738.3099968000315,738.2939202999696,104.41263610031456,104.41268109995872,738.3031872999854,738.3099968000315,738.3099968000315,739.3091174997389,739.3091174997389,739.2932334998623,stimuli/box_empty_transparent.png,105.4119196003303,105.41195490024984,739.2933189999312,739.3091174997389,740.8106045997702,740.7937130997889,106.91239430010319,,,,,,,,,,,,,,,,333333,right,no,None,2025-05-09_11h25.32.581,RL_out-of-scanner,2024.2.4,59.785477605207106,2025-05-09 11h25.42.933660 -0500,
