thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.all_keys.rt,trials.all_keys.duration,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
42,0,42,space,3.623589500784874,None,5,3.0632549999281764,None,207.62958259973675,j,0.2932443004101515,None,None,207.94555590022355,207.94589320011437,209.9437697995454,209.94381519965827,210.94458489958197,210.9446179997176,214.4444671999663,,,,,,,0,0,0,0,42,0,42,0,278.55553890019655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.62958259973675,278.54098240006715,278.55553890019655,278.55553890019655,278.55553890019655,278.55553890019655,278.8568706000224,j,0.2932443004101515,None,left,1,13,6,1,28,21,None,207.94555590022355,207.94589320011437,278.85729130078107,278.87212570011616,278.87212570011616,280.87198530044407,280.87198530044407,280.85509920027107,209.9437697995454,209.94381519965827,280.8665644004941,280.87198530044407,280.87198530044407,,,281.8559241006151,stimuli/box_coin_transparent.png,210.94458489958197,210.9446179997176,281.8560157008469,281.87160910014063,285.3731559002772,285.3558193007484,214.4444671999663,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
43,0,43,space,3.623589500784874,None,5,3.0632549999281764,None,214.44621369987726,j,0.33729799930006266,None,None,214.81183020025492,214.8121515000239,215.81029229983687,215.8103425996378,216.81160170026124,216.81164109986275,218.8108887001872,,,,,,,0,0,0,0,43,0,43,0,285.3731559002772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.44621369987726,285.3576190005988,285.3731559002772,285.3731559002772,285.3731559002772,285.3731559002772,285.7231455007568,j,0.33729799930006266,None,left,1,13,7,1,29,22,None,214.81183020025492,214.8121515000239,285.72354899998754,285.7387220002711,285.7387220002711,286.739452900365,286.739452900365,286.72161300014704,215.81029229983687,215.8103425996378,286.734187300317,286.739452900365,286.739452900365,,,287.722947800532,stimuli/box_coin_transparent.png,216.81160170026124,216.81164109986275,287.7230386007577,287.7385645005852,289.73902700003237,289.72224150039256,218.8108887001872,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
44,0,44,space,3.623589500784874,None,5,3.0632549999281764,None,218.81263159960508,j,0.4659659005701542,None,None,219.29579420015216,219.29621529951692,221.79363689944148,221.79368849936873,222.79451469983906,222.79454590007663,224.79424019996077,,,,,,,0,0,0,0,44,0,44,0,289.73902700003237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.81263159960508,289.72403660044074,289.73902700003237,289.73902700003237,289.73902700003237,289.73902700003237,290.20709160063416,j,0.4659659005701542,None,left,1,13,8,1,30,23,None,219.29579420015216,219.29621529951692,290.20761980023235,290.22192890010774,290.22192890010774,292.72261500079185,292.72261500079185,292.7049553003162,221.79363689944148,221.79368849936873,292.71550719998777,292.72261500079185,292.72261500079185,,,293.70586470048875,stimuli/box_coin_transparent.png,222.79451469983906,222.79454590007663,293.7059439001605,293.7217527003959,295.7217399002984,295.70559060014784,224.79424019996077,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
45,0,45,space,3.623589500784874,None,5,3.0632549999281764,None,224.7967881001532,j,0.3501198999583721,None,None,225.16234620008618,225.1627508001402,226.16108130011708,226.1611174000427,227.16133109945804,227.16136659961194,228.1594437994063,,,,,,,0,0,0,0,45,0,45,0,295.7217399002984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7967881001532,295.70819350052625,295.7217399002984,295.7217399002984,295.7217399002984,295.7217399002984,296.0736436005682,j,0.3501198999583721,None,left,1,13,9,1,31,24,None,225.16234620008618,225.1627508001402,296.0741566000506,296.0885160006583,296.0885160006583,297.08815570082515,297.08815570082515,297.07241410017014,226.16108130011708,226.1611174000427,297.08213840052485,297.08815570082515,297.08815570082515,298.0879164002836,298.0879164002836,298.0726793007925,stimuli/box_coin_transparent.png,227.16133109945804,227.16136659961194,298.07276810053736,298.0879164002836,299.087579600513,299.07079610042274,228.1594437994063,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
46,0,46,space,3.623589500784874,None,5,3.0632549999281764,None,228.1611361000687,None,,,None,229.66106070019305,229.66114609967917,231.66058690007776,231.66062240023166,232.6607650993392,232.66079679969698,233.67688830010593,,,,,,,0,0,0,0,46,0,46,0,299.087579600513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.1611361000687,299.0725425006822,299.087579600513,299.087579600513,299.087579600513,299.087579600513,300.57237320020795,None,,,left,1,13,9,1,31,24,None,229.66106070019305,229.66114609967917,300.5725468005985,300.5884183002636,300.5884183002636,302.58879710081965,302.58879710081965,302.5719195008278,231.66058690007776,231.66062240023166,302.5805051000789,302.58879710081965,302.58879710081965,303.58815910015255,303.58815910015255,303.57211830001324,no selection made,232.6607650993392,232.66079679969698,303.5721883000806,303.58815910015255,304.6042009005323,304.5882371002808,233.67688830010593,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
47,0,47,space,3.623589500784874,None,5,3.0632549999281764,None,233.67907609976828,j,0.35350120067596436,None,None,234.06049910001457,234.06082629971206,237.06077199988067,237.06081379950047,238.06085809972137,238.0608928995207,239.55998469982296,,,,,,,0,0,0,0,47,0,47,0,304.6042009005323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.67907609976828,304.5904894005507,304.6042009005323,304.6042009005323,304.6042009005323,304.6042009005323,304.9718158002943,j,0.35350120067596436,None,left,1,13,10,1,32,25,None,234.06049910001457,234.06082629971206,304.97222600039095,304.98749410081655,304.98749410081655,307.98761750012636,307.98761750012636,307.9721005000174,237.06077199988067,237.06081379950047,307.98203140031546,307.98761750012636,307.98761750012636,308.98786400072277,308.98786400072277,308.9722077008337,stimuli/box_coin_transparent.png,238.06085809972137,238.0608928995207,308.9722943007946,308.98786400072277,310.4871768001467,310.4713402008638,239.55998469982296,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
48,0,48,space,3.623589500784874,None,5,3.0632549999281764,None,239.56148429960012,j,0.3290202999487519,None,None,239.9104111995548,239.9107504999265,241.4110797001049,241.4111168999225,242.410693699494,242.4107245001942,245.9255978995934,,,,,,,0,0,0,0,48,0,48,0,310.4871768001467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.56148429960012,310.4728927006945,310.4871768001467,310.4871768001467,310.4871768001467,310.4871768001467,310.8217107001692,j,0.3290202999487519,None,left,1,13,11,1,33,26,None,239.9104111995548,239.9107504999265,310.8221553005278,310.8372492007911,310.8372492007911,312.3377559008077,312.3377559008077,312.32241330016404,241.4110797001049,241.4111168999225,312.3321541007608,312.3377559008077,312.3377559008077,313.33835500013083,313.33835500013083,313.32204520050436,stimuli/box_coin_transparent.png,242.410693699494,242.4107245001942,313.32212170027196,313.33835500013083,316.8536028005183,316.8369452999905,245.9255978995934,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
49,0,49,space,3.623589500784874,None,5,3.0632549999281764,None,245.92783119995147,j,0.33216390013694763,None,None,246.27668110001832,246.27698209974915,247.77728930022568,247.77733349986374,248.7778016999364,248.7778359996155,248.77830019965768,,,,,,,0,0,0,0,49,0,49,0,316.8536028005183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.92783119995147,316.8392440006137,316.8536028005183,316.8536028005183,316.8536028005183,316.8536028005183,317.1879956005141,j,0.33216390013694763,None,left,0,13,11,1,34,26,None,246.27668110001832,246.27698209974915,317.18837979994714,317.2038956005126,317.2038956005126,318.7041345005855,318.7041345005855,318.6886190008372,247.77728930022568,247.77733349986374,318.6973697002977,318.7041345005855,318.7041345005855,319.7210661005229,319.7210661005229,319.68915110081434,stimuli/box_empty_transparent.png,248.7778016999364,248.7778359996155,319.68923720065504,319.7210661005229,319.7210661005229,319.68964010011405,248.77830019965768,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
0,0,0,space,3.623589500784874,None,5,3.0632549999281764,None,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.715757900849,319.7210661005229,323.6917443005368,323.6969924001023,323.70723710022867,374.28906650003046,374.27287900075316,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
0,0,0,space,4.532669699750841,None,5,2.0366214998066425,None,0.001852499321103096,None,,,None,1.499881399795413,1.4999583000317216,2.500353000126779,2.5003945995122194,3.4999156994745135,3.499947600066662,5.499126899987459,,,,,,,1,0,1,0,0,0,0,0,380.90595650020987,,,,,,,,,,,,,,,,374.2730970000848,374.28906650003046,374.28906650003046,378.8232801007107,space,4.532669699750841,None,378.82335600070655,378.83878010045737,378.83878010045737,380.88968620076776,5,2.0366214998066425,None,0.001852499321103096,380.8916229000315,380.90595650020987,380.90595650020987,380.90595650020987,380.90595650020987,382.3895757002756,None,,,right,0,12,0,2,34,0,None,1.499881399795413,1.4999583000317216,382.3897219002247,382.4061392005533,382.4061392005533,383.4056306006387,383.4056306006387,383.39005180075765,2.500353000126779,2.5003945995122194,383.3989925002679,383.4056306006387,383.4056306006387,384.4049265002832,384.4049265002832,384.38963810075074,no selection made,3.4999156994745135,3.499947600066662,384.3897097008303,384.4049265002832,386.40612470079213,386.38885170035064,5.499126899987459,,,382.4061392005533,382.4061392005533,382.4061392005533,382.4061392005533,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
1,0,1,space,4.532669699750841,None,5,2.0366214998066425,None,5.5005738995969296,k,0.27524830028414726,None,None,5.801555499434471,5.8018213994801044,7.2995021995157,7.299539599567652,8.300027700141072,8.300057699903846,9.799026899971068,,,,,,,1,0,1,0,1,0,1,0,386.40612470079213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5005738995969296,386.3903434006497,386.40612470079213,386.40612470079213,386.40612470079213,386.40612470079213,386.69123800005764,k,0.27524830028414726,None,right,1,12,1,2,35,1,None,5.801555499434471,5.8018213994801044,386.69158770050853,386.70615690015256,386.70615690015256,388.20533660054207,388.20533660054207,388.1892087003216,7.2995021995157,7.299539599567652,388.19893350079656,388.20533660054207,388.20533660054207,389.20471900049597,389.20471900049597,389.1897507002577,stimuli/box_coin_transparent.png,8.300027700141072,8.300057699903846,389.1898242002353,389.20471900049597,390.70550699997693,390.68874800018966,9.799026899971068,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
2,0,2,space,4.532669699750841,None,5,2.0366214998066425,None,9.800501800142229,k,0.3152953004464507,None,None,10.133966299705207,10.134229400195181,11.134280399419367,11.134316999465227,12.132093999534845,12.13212819956243,15.132796099409461,,,,,,,1,0,1,0,2,0,2,0,390.70550699997693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.800501800142229,390.6902716001496,390.70550699997693,390.70550699997693,390.70550699997693,390.70550699997693,391.02364820055664,k,0.3152953004464507,None,right,0,12,1,2,36,1,None,10.133966299705207,10.134229400195181,391.023996100761,391.03877890016884,391.03877890016884,392.03884740080684,392.03884740080684,392.02398260030895,11.134280399419367,11.134316999465227,392.03232870064676,392.03884740080684,392.03884740080684,393.0380930006504,393.0380930006504,393.0218133004382,stimuli/box_empty_transparent.png,12.132093999534845,12.13212819956243,393.0218994002789,393.0380930006504,396.03898630011827,396.0225178003311,15.132796099409461,,,,,,,,,,,,,,,,99999,right,no,None,2025-05-21_17h30.01.425,RL_out-of-scanner,2024.2.4,59.69792846138299,2025-05-21 17h30.17.354836 -0500,
