thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,outcome_left_box.stopped,outcome_right_box.stopped,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
15,0,15,space,4.319508599117398,None,5,1.0790919996798038,None,73.08265739958733,k,0.3805366000160575,None,None,73.48186799976975,73.48219559993595,74.48124060034752,74.4812839999795,75.480443299748,75.48048439994454,77.48095969948918,,,,,,,1,0,1,0,15,0,15,0,388.20383640006185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.08265739958733,388.18933170009404,388.20383640006185,388.20383640006185,388.20383640006185,388.20383640006185,388.5884360000491,k,0.3805366000160575,None,left,1,7,0,4,56,8,None,73.48186799976975,73.48219559993595,388.58887419942766,388.60437079984695,388.60437079984695,389.6039108997211,389.6039108997211,389.58784609939903,74.48124060034752,74.4812839999795,389.5969137996435,389.6039108997211,389.6039108997211,390.5870608994737,stimuli/box_empty_transparent.png,75.480443299748,75.48048439994454,390.5871669994667,390.60287950001657,392.6046121995896,392.58758919965476,77.48095969948918,390.60287950001657,390.60287950001657,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
16,0,16,space,4.319508599117398,None,5,1.0790919996798038,None,77.48247080016881,k,0.30839440040290356,None,None,77.81522750016302,77.81549729965627,79.81449509970844,79.81453240010887,80.8137745000422,80.81381750013679,81.81468989979476,,,,,,,1,0,1,0,16,0,16,0,392.6046121995896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.48247080016881,392.5891450997442,392.6046121995896,392.6046121995896,392.6046121995896,392.6046121995896,392.92181219998747,k,0.30839440040290356,None,left,1,7,0,4,56,8,None,77.81522750016302,77.81549729965627,392.9221695996821,392.93698459956795,392.93698459956795,394.9368749996647,394.9368749996647,394.9211072996259,79.81449509970844,79.81453240010887,394.92942859977484,394.9368749996647,394.9368749996647,395.92039470002055,stimuli/box_empty_transparent.png,80.8137745000422,80.81381750013679,395.9205006994307,395.93595169950277,396.9376503992826,396.92131939996034,81.81468989979476,395.93595169950277,395.93595169950277,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
17,0,17,space,4.319508599117398,None,5,1.0790919996798038,None,81.81620969995856,j,0.34019669983536005,None,None,82.18197649996728,82.18230579979718,83.18116409983486,83.18121130019426,84.18098360020667,84.18102059978992,85.18063720036298,,,,,,,1,0,1,0,17,0,17,0,396.9376503992826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.81620969995856,396.9228833997622,396.9376503992826,396.9376503992826,396.9376503992826,396.9376503992826,397.2885614000261,j,0.34019669983536005,None,left,1,7,1,4,57,9,None,82.18197649996728,82.18230579979718,397.28897830005735,397.30395729932934,397.30395729932934,398.3034544996917,398.3034544996917,398.28776649944484,83.18116409983486,83.18121130019426,398.2979171993211,398.3034544996917,398.3034544996917,399.2876071995124,stimuli/box_coin_transparent.png,84.18098360020667,84.18102059978992,399.2876961994916,399.3038691999391,400.3038729997352,400.2872647000477,85.18063720036298,399.3038691999391,399.3038691999391,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
18,0,18,space,4.319508599117398,None,5,1.0790919996798038,None,85.18244659993798,j,0.47795489989221096,None,None,85.68167269974947,85.68207189999521,89.18077259976417,89.18081689998507,90.18107130005956,90.18111599981785,92.1807079995051,,,,,,,1,0,1,0,18,0,18,0,400.3038729997352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.18244659993798,400.28912709932774,400.3038729997352,400.3038729997352,400.3038729997352,400.3038729997352,400.78824289981276,j,0.47795489989221096,None,left,1,7,2,4,58,10,None,85.68167269974947,85.68207189999521,400.78875149972737,400.803721900098,400.803721900098,404.3031251998618,404.3031251998618,404.28737539984286,89.18077259976417,89.18081689998507,404.2973215999082,404.3031251998618,404.3031251998618,405.28769129980356,stimuli/box_coin_transparent.png,90.18107130005956,90.18111599981785,405.28779949992895,405.3036658996716,407.30346619989723,407.28733939956874,92.1807079995051,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
19,0,19,space,4.319508599117398,None,5,1.0790919996798038,None,92.1821608999744,j,0.5247857999056578,None,None,92.7305272994563,92.73086460027844,93.7311281003058,93.73117300029844,94.7310779998079,94.73110909946263,96.23032329976559,,,,,,,1,0,1,0,19,0,19,0,407.30346619989723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1821608999744,407.2888340000063,407.30346619989723,407.30346619989723,407.30346619989723,407.30346619989723,407.83709909953177,j,0.5247857999056578,None,left,0,7,2,4,59,10,None,92.7305272994563,92.73086460027844,407.83754319977015,407.8526572994888,407.8526572994888,408.8530876999721,408.8530876999721,408.83772919978946,93.7311281003058,93.73117300029844,408.8460738994181,408.8530876999721,408.8530876999721,409.83770419936627,stimuli/box_empty_transparent.png,94.7310779998079,94.73110909946263,409.8377791997045,409.853280399926,411.3537320001051,411.3369537992403,96.23032329976559,409.853280399926,409.853280399926,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
20,0,20,space,4.319508599117398,None,5,1.0790919996798038,None,96.23181399982423,j,0.26493369974195957,None,None,96.51498300023377,96.51534119993448,98.52968349959701,98.5297310994938,99.53029419947416,99.5303298002109,101.53033920004964,,,,,,,1,0,1,0,20,0,20,0,411.3537320001051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.23181399982423,411.3384876996279,411.3537320001051,411.3537320001051,411.3537320001051,411.3537320001051,411.6215701000765,j,0.26493369974195957,None,left,1,7,3,4,60,11,None,96.51498300023377,96.51534119993448,411.62201549950987,411.63713550008833,411.63713550008833,413.65361679997295,413.65361679997295,413.63628899957985,98.52968349959701,98.5297310994938,413.6477585993707,413.65361679997295,413.65361679997295,414.63690879940987,stimuli/box_coin_transparent.png,99.53029419947416,99.5303298002109,414.63700399920344,414.6534326998517,416.6532487999648,416.6369693996385,101.53033920004964,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
21,0,21,space,4.319508599117398,None,5,1.0790919996798038,None,101.53181570023298,j,0.5664079003036022,None,None,102.11489980015904,102.11529930029064,105.11338500026613,105.1134220995009,106.1139682000503,106.11400059983134,107.61340889986604,,,,,,,1,0,1,0,21,0,21,0,416.6532487999648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.53181570023298,416.63848869968206,416.6532487999648,416.6532487999648,416.6532487999648,416.6532487999648,417.2214679000899,j,0.5664079003036022,None,left,1,7,4,4,61,12,None,102.11489980015904,102.11529930029064,417.2219785992056,417.2366297999397,417.2366297999397,420.2372670993209,420.2372670993209,420.2199959997088,105.11338500026613,105.1134220995009,420.23139959946275,420.2372670993209,420.2372670993209,421.22059379983693,stimuli/box_coin_transparent.png,106.1139682000503,106.11400059983134,421.2206729995087,421.2366226995364,422.7362726991996,422.72003479953855,107.61340889986604,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
22,0,22,space,4.319508599117398,None,5,1.0790919996798038,None,107.615239799954,j,0.36806869972497225,None,None,108.01423589978367,108.01456299982965,109.51368680037558,109.51372940000147,110.51285179983824,110.51288780011237,112.51323760021478,,,,,,,1,0,1,0,22,0,22,0,422.7362726991996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.615239799954,422.72191979922354,422.7362726991996,422.7362726991996,422.7362726991996,422.7362726991996,423.1208205996081,j,0.36806869972497225,None,left,0,7,4,4,62,12,None,108.01423589978367,108.01456299982965,423.1212367992848,423.13642769958824,423.13642769958824,424.6363843996078,424.6363843996078,424.6202890994027,109.51368680037558,109.51372940000147,424.62852789927274,424.6363843996078,424.6363843996078,425.6194762000814,stimuli/box_empty_transparent.png,110.51285179983824,110.51288780011237,425.61956419982016,425.6350355995819,427.6361976992339,427.61986679956317,112.51323760021478,425.6350355995819,425.6350355995819,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
23,0,23,space,4.319508599117398,None,5,1.0790919996798038,None,112.51478760037571,j,0.45941360015422106,None,None,112.997677099891,112.99805529974401,114.49740260001272,114.49744080007076,115.4968835003674,115.4969156999141,117.01244799979031,,,,,,,1,0,1,0,23,0,23,0,427.6361976992339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.51478760037571,427.621461099945,427.6361976992339,427.6361976992339,427.6361976992339,427.6361976992339,428.10425339918584,j,0.45941360015422106,None,left,1,7,5,4,63,13,None,112.997677099891,112.99805529974401,428.1047329995781,428.1199549995363,428.1199549995363,429.6193186994642,429.6193186994642,429.6040094997734,114.49740260001272,114.49744080007076,429.6142060998827,429.6193186994642,429.6193186994642,430.6035111993551,stimuli/box_coin_transparent.png,115.4968835003674,115.4969156999141,430.603585999459,430.619571399875,432.135618600063,432.1190788000822,117.01244799979031,430.619571399875,430.619571399875,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
24,0,24,space,4.319508599117398,None,5,1.0790919996798038,None,117.01404729951173,j,0.3043575994670391,None,None,117.347431499511,117.3478325996548,119.34708259999752,119.34712910000235,120.34697640035301,120.3470248002559,121.86189549975097,,,,,,,1,0,1,0,24,0,24,0,432.135618600063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.01404729951173,432.12072329968214,432.135618600063,432.135618600063,432.135618600063,432.135618600063,432.45400109980255,j,0.3043575994670391,None,left,1,7,6,4,64,14,None,117.347431499511,117.3478325996548,432.45451129972935,432.469608400017,432.469608400017,434.4704228993505,434.4704228993505,434.45368399936706,119.34708259999752,119.34712910000235,434.4650522992015,434.4704228993505,434.4704228993505,435.45359709952027,stimuli/box_coin_transparent.png,120.34697640035301,120.3470248002559,435.4537141993642,435.46956259943545,436.98516919929534,436.96852009929717,121.86189549975097,435.46956259943545,435.46956259943545,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
25,0,25,space,4.319508599117398,None,5,1.0790919996798038,None,121.86367420013994,j,0.48292339965701103,None,None,122.36315939947963,122.36348609998822,123.36383979953825,123.36387869995087,124.36310980003327,124.363140899688,127.87833550013602,,,,,,,1,0,1,0,25,0,25,0,436.98516919929534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.86367420013994,436.97035400010645,436.98516919929534,436.98516919929534,436.98516919929534,436.98516919929534,437.4697429994121,j,0.48292339965701103,None,left,0,7,6,4,65,14,None,122.36315939947963,122.36348609998822,437.4701606994495,437.4851815998554,437.4851815998554,438.48559289984405,438.48559289984405,438.47045179922134,123.36383979953825,123.36387869995087,438.47868839930743,438.48559289984405,438.48559289984405,439.46973640006036,stimuli/box_empty_transparent.png,124.36310980003327,124.363140899688,439.469811999239,439.48579810000956,443.001721999608,442.98496320005506,127.87833550013602,439.48579810000956,439.48579810000956,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
26,0,26,space,4.319508599117398,None,5,1.0790919996798038,None,127.88011329993606,j,0.3545801006257534,None,None,128.2630049996078,128.26342429965734,128.7627371000126,128.76278499979526,129.77947499975562,129.77950860001147,133.27904899977148,,,,,,,1,0,1,0,26,0,26,0,443.001721999608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.88011329993606,442.9867939995602,443.001721999608,443.001721999608,443.001721999608,443.001721999608,443.36956280004233,j,0.3545801006257534,None,left,1,7,7,4,66,15,None,128.2630049996078,128.26342429965734,443.37011239957064,443.3850811999291,443.3850811999291,443.88799929991364,443.88799929991364,443.86933430004865,128.7627371000126,128.76278499979526,443.88222529925406,443.88799929991364,443.88799929991364,444.8860999997705,stimuli/box_coin_transparent.png,129.77947499975562,129.77950860001147,444.8861802993342,444.90140959993005,448.4025045996532,448.385679599829,133.27904899977148,,,,,,,,,,,,,,,,,,999999,right,no,None,2025-05-21_17h47.03.030,RL_out-of-scanner,2024.2.4,59.38750116072683,2025-05-21 17h47.19.278398 -0500,
