thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,cue_resp.rt,cue_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,trials.cue_resp.rt,trials.cue_resp.duration,outcome_left_box.stopped,outcome_right_box.stopped,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,space,17.695944199804217,None,5,1.9891633000224829,None,91.73151709977537,k,None,92.1312155998312,92.13145179999992,93.13145179999992,93.131488900166,94.1316395001486,94.13167160004377,95.63066409993917,0.3831116002984345,None,,,,,2,0,2,0,19,0,19,0,790.6245206999592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.73151709977537,790.6095242002048,790.6245206999592,790.6245206999592,790.6245206999592,790.6245206999592,791.0091296001337,k,right,1,12,10,7,84,10,None,92.1312155998312,92.13145179999992,791.0094491001219,791.0245743002743,791.0245743002743,792.0249312003143,792.0249312003143,792.0093880002387,93.13145179999992,93.131488900166,792.0192440003157,792.0249312003143,792.0249312003143,793.0095918001607,stimuli/box_coin_transparent.png,94.1316395001486,94.13167160004377,793.0096686002798,793.0251633003354,794.524947500322,794.50861980021,95.63066409993917,0.3831116002984345,None,793.0251633003354,793.0251633003354,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
20,0,20,space,17.695944199804217,None,5,1.9891633000224829,None,95.63231310015544,k,None,96.06534000020474,96.06566639989614,98.06365410005674,98.06369799980894,99.06485399976373,99.0648873001337,101.06308750016615,0.40092960000038147,None,,,,,2,0,2,0,20,0,20,0,794.524947500322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.63231310015544,794.5103136003017,794.524947500322,794.524947500322,794.524947500322,794.524947500322,794.9432316999882,k,right,1,12,11,7,85,11,None,96.06534000020474,96.06566639989614,794.9436703003012,794.9584304001182,794.9584304001182,796.9583514002152,796.9583514002152,796.94158480037,98.06365410005674,98.06369799980894,796.9525218000636,796.9583514002152,796.9583514002152,797.942803400103,stimuli/box_coin_transparent.png,99.06485399976373,99.0648873001337,797.9428898002952,797.9580967002548,799.9580088001676,799.9410395002924,101.06308750016615,0.40092960000038147,None,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
21,0,21,space,17.695944199804217,None,5,1.9891633000224829,None,101.06486909976229,k,None,101.4483353998512,101.44865560019389,104.44804510008544,104.44808299979195,105.44790929974988,105.44794420013204,106.94706959975883,0.3625138998031616,None,,,,,2,0,2,0,21,0,21,0,799.9580088001676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.06486909976229,799.9428755003028,799.9580088001676,799.9580088001676,799.9580088001676,799.9580088001676,800.3262261003256,k,right,0,12,11,7,86,11,None,101.4483353998512,101.44865560019389,800.3266602000222,800.3414272000082,800.3414272000082,803.3411779999733,803.3411779999733,803.3259769999422,104.44804510008544,104.44808299979195,803.3341316003352,803.3411779999733,803.3411779999733,804.3258569003083,stimuli/box_empty_transparent.png,105.44790929974988,105.44794420013204,804.3259451999329,804.3414772003889,805.8414656999521,805.8250254001468,106.94706959975883,0.3625138998031616,None,804.3414772003889,804.3414772003889,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
22,0,22,space,17.695944199804217,None,5,1.9891633000224829,None,106.94865609984845,k,None,107.36520970007405,107.36547080008313,108.86453620018438,108.86457289988175,109.86316390009597,109.86319549987093,111.86364630004391,0.3935300996527076,None,,,,,2,0,2,0,22,0,22,0,805.8414656999521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94865609984845,805.8266568002291,805.8414656999521,805.8414656999521,805.8414656999521,805.8414656999521,806.2431176002137,k,right,0,12,11,7,87,11,None,107.36520970007405,107.36547080008313,806.243468800094,806.2581081003882,806.2581081003882,807.7577798999846,807.7577798999846,807.7424699002877,108.86453620018438,108.86457289988175,807.7507326002233,807.7577798999846,807.7577798999846,808.7411096002907,stimuli/box_empty_transparent.png,109.86316390009597,109.86319549987093,808.7411911003292,808.75684799999,810.7580395000987,810.7416010000743,111.86364630004391,0.3935300996527076,None,808.75684799999,808.75684799999,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
23,0,23,space,17.695944199804217,None,5,1.9891633000224829,None,111.86519519984722,k,None,112.19836150016636,112.19867300009355,113.69749790010974,113.69753730017692,114.69733389979228,114.6973648997955,116.19618760002777,0.31399310007691383,None,,,,,2,0,2,0,23,0,23,0,810.7580395000987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.86519519984722,810.743196000345,810.7580395000987,810.7580395000987,810.7580395000987,810.7580395000987,811.0762531002983,k,right,1,12,12,7,88,12,None,112.19836150016636,112.19867300009355,811.0766774001531,811.0915912003256,811.0915912003256,812.5910140001215,812.5910140001215,812.5754309999757,113.69749790010974,113.69753730017692,812.5852717002854,812.5910140001215,812.5910140001215,813.5752855003811,stimuli/box_coin_transparent.png,114.69733389979228,114.6973648997955,813.575361000374,813.5910947001539,815.0908365002833,815.0741440001875,116.19618760002777,0.31399310007691383,None,813.5910947001539,813.5910947001539,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
24,0,24,space,17.695944199804217,None,5,1.9891633000224829,None,116.19762780005112,k,None,116.71421439992264,116.71447570016608,118.71333419997245,118.71337229991332,119.71301309997216,119.71304829977453,121.21225509978831,0.4973805001936853,None,,,,,2,0,2,0,24,0,24,0,815.0908365002833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.19762780005112,815.0756304003298,815.0908365002833,815.0908365002833,815.0908365002833,815.0908365002833,815.592125300318,k,left,1,14,0,8,88,12,None,116.71421439992264,116.71447570016608,815.5924730999395,815.6080489000306,815.6080489000306,817.6076203002594,817.6076203002594,817.5912675000727,118.71333419997245,118.71337229991332,817.6002195002511,817.6076203002594,817.6076203002594,818.5909617003053,stimuli/box_empty_transparent.png,119.71301309997216,119.71304829977453,818.5910498001613,818.6065523000434,820.1070075002499,820.0902039003558,121.21225509978831,0.4973805001936853,None,818.6065523000434,818.6065523000434,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
25,0,25,space,17.695944199804217,None,5,1.9891633000224829,None,121.21405710000545,k,None,121.56377140013501,121.5640118997544,122.56332839978859,122.56336579984054,123.5637559001334,123.56378770014271,127.07875770004466,0.330770299769938,None,,,,,2,0,2,0,25,0,25,0,820.1070075002499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.21405710000545,820.0920644002035,820.1070075002499,820.1070075002499,820.1070075002499,820.1070075002499,820.4416728001088,k,left,1,14,0,8,88,12,None,121.56377140013501,121.5640118997544,820.442009600345,820.4569933000021,820.4569933000021,821.458002100233,821.458002100233,821.4412640002556,122.56332839978859,122.56336579984054,821.4495557001792,821.458002100233,821.458002100233,822.4417085000314,stimuli/box_empty_transparent.png,123.5637559001334,123.56378770014271,822.4417833001353,822.4574596001767,825.973519100342,825.9567066002637,127.07875770004466,0.330770299769938,None,822.4574596001767,822.4574596001767,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
26,0,26,space,17.695944199804217,None,5,1.9891633000224829,None,127.08084770012647,j,None,127.54656009981409,127.5469113998115,128.04648819984868,128.04653220018372,129.04683010000736,129.04685960011557,132.5457791998051,0.44889190001413226,None,,,,,2,0,2,0,26,0,26,0,825.973519100342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.08084770012647,825.958860100247,825.973519100342,825.973519100342,825.973519100342,825.973519100342,826.424470399972,j,left,1,14,1,8,89,13,None,127.54656009981409,127.5469113998115,826.4249118003063,826.4402845003642,826.4402845003642,826.9409400001168,826.9409400001168,826.9244170002639,128.04648819984868,128.04653220018372,826.9353706003167,826.9409400001168,826.9409400001168,827.9247844000347,stimuli/box_coin_transparent.png,129.04683010000736,129.04685960011557,827.9248561002314,827.9403421999887,831.4402474001981,831.4237306001596,132.5457791998051,0.44889190001413226,None,827.9403421999887,827.9403421999887,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
27,0,27,space,17.695944199804217,None,5,1.9891633000224829,None,132.54803299997002,j,None,132.9469682998024,132.94744390016422,134.44696989981458,134.44701230013743,135.4467553999275,135.44679199997336,136.44568210002035,0.3729560999199748,None,,,,,2,0,2,0,27,0,27,0,831.4402474001981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.54803299997002,831.426041000057,831.4402474001981,831.4402474001981,831.4402474001981,831.4402474001981,831.8248474001884,j,left,1,14,2,8,90,14,None,132.9469682998024,132.94744390016422,831.8254583999515,831.8399894000031,831.8399894000031,833.3403429002501,833.3403429002501,833.3248920002952,134.44696989981458,134.44701230013743,833.3346752002835,833.3403429002501,833.3403429002501,834.3247044002637,stimuli/box_coin_transparent.png,135.4467553999275,135.44679199997336,834.324792300351,834.3401330001652,835.3400459000841,835.3236336000264,136.44568210002035,0.3729560999199748,None,834.3401330001652,834.3401330001652,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
28,0,28,space,17.695944199804217,None,5,1.9891633000224829,None,136.4473640997894,j,None,136.8639977001585,136.86440890002996,137.86242699995637,137.86246429989114,138.86245730007067,138.86249409988523,142.36297459993511,0.388667399995029,None,,,,,2,0,2,0,28,0,28,0,835.3400459000841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4473640997894,835.3253652001731,835.3400459000841,835.3400459000841,835.3400459000841,835.3400459000841,835.7418913999572,j,left,1,14,3,8,91,15,None,136.8639977001585,136.86440890002996,835.7424143999815,835.7568685002625,835.7568685002625,836.756922500208,836.756922500208,836.7403589999303,137.86242699995637,137.86246429989114,836.7500913999975,836.756922500208,836.756922500208,837.7404062999412,stimuli/box_coin_transparent.png,138.86245730007067,138.86249409988523,837.7404952002689,837.7559514003806,841.2567982003093,841.2409292999655,142.36297459993511,0.388667399995029,None,837.7559514003806,837.7559514003806,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
29,0,29,space,17.695944199804217,None,5,1.9891633000224829,None,142.364509599749,j,None,142.76287380000576,142.7632102998905,144.76223280001432,144.76226919982582,145.7625784999691,145.76261720014736,146.76316659990698,0.37227729987353086,None,,,,,2,0,2,0,29,0,29,0,841.2567982003093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.364509599749,841.2425104002468,841.2567982003093,841.2567982003093,841.2567982003093,841.2567982003093,841.640783500392,j,left,0,14,3,8,92,15,None,142.76287380000576,142.7632102998905,841.6412108000368,841.6564318002202,841.6564318002202,843.6570059000514,843.6570059000514,843.6401692000218,144.76223280001432,144.76226919982582,843.6488861003891,843.6570059000514,843.6570059000514,844.6405270001851,stimuli/box_empty_transparent.png,145.7625784999691,145.76261720014736,844.6406197003089,844.6559079000726,845.6575826001354,845.6411177003756,146.76316659990698,0.37227729987353086,None,844.6559079000726,844.6559079000726,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
30,0,30,space,17.695944199804217,None,5,1.9891633000224829,None,146.76509239990264,j,None,147.24716420006007,147.24755850015208,148.24568169983104,148.24571939976886,149.24607220012695,149.24610790004954,150.2448730999604,0.45889379968866706,None,,,,,2,0,2,0,30,0,30,0,845.6575826001354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.76509239990264,845.6430935002863,845.6575826001354,845.6575826001354,845.6575826001354,845.6575826001354,846.125053900294,j,left,1,14,4,8,93,16,None,147.24716420006007,147.24755850015208,846.1255638003349,846.1402388000861,846.1402388000861,847.1400345000438,847.1400345000438,847.1236177999526,148.24568169983104,148.24571939976886,847.1337640001439,847.1400345000438,847.1400345000438,848.1240131999366,stimuli/box_coin_transparent.png,149.24607220012695,149.24610790004954,848.1241073003039,848.1394979003817,849.1401838003658,849.122825300321,150.2448730999604,0.45889379968866706,None,,,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
31,0,31,space,17.695944199804217,None,5,1.9891633000224829,None,150.2467311997898,j,None,150.69591310014948,150.69623570004478,153.69593100016937,153.69596830010414,154.69521659985185,154.69524830020964,157.19456799980253,0.4206118998117745,None,,,,,2,0,2,0,31,0,31,0,849.1401838003658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.2467311997898,849.1247390001081,849.1401838003658,849.1401838003658,849.1401838003658,849.1401838003658,849.5738254999742,j,left,1,14,5,8,94,17,None,150.69591310014948,150.69623570004478,849.5742363999598,849.5894794003107,849.5894794003107,852.5897465003654,852.5897465003654,852.5738662001677,153.69593100016937,153.69596830010414,852.583767300006,852.5897465003654,852.5897465003654,853.5731688002124,stimuli/box_coin_transparent.png,154.69521659985185,154.69524830020964,853.5732446000911,853.5895569999702,856.089168000035,856.0725191002712,157.19456799980253,0.4206118998117745,None,853.5895569999702,853.5895569999702,,,,,,,,,,111111,right,no,None,2025-04-28_11h05.32.204,RL_out-of-scanner,2024.2.4,59.48132284843525,2025-04-28 11h06.08.884435 -0500,
