thisN,thisTrialN,thisRepN,advance_press.keys,advance_press.rt,advance_press.duration,trigger_value.keys,trigger_value.rt,trigger_value.duration,cueOnTime,cue_resp.keys,cue_resp.rt,cue_resp.duration,all_keys.keys,cueOffTime,cueRespOnTime,cueRespOffTime,outcomeOnTime,outcomeOffTime,fixOnTime,fixOffTime,all_keys.rt,all_keys.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_dir.started,welcome_text.started,advance_press_pd.started,prac_dir.stopped,advance_press_pd.keys,advance_press_pd.rt,advance_press_pd.duration,summary_instructions.started,summary_text.started,advance_to_runs.started,summary_instructions.stopped,advance_to_runs.keys,advance_to_runs.rt,advance_to_runs.duration,get_ready.started,get_ready_text.started,advance_press.started,get_ready.stopped,runs.advance_press.keys,runs.advance_press.rt,runs.advance_press.duration,scanner_trigger.started,scanner_text.started,trigger_value.started,scanner_trigger.stopped,runs.trigger_value.keys,runs.trigger_value.rt,runs.trigger_value.duration,trials.cueOnTime,cue.started,left_box.started,right_box.started,cue_resp.started,all_keys.started,cue.stopped,trials.cue_resp.keys,trials.cue_resp.rt,trials.cue_resp.duration,good_side,probability_sequence_value,magic_number,num_rewarded,num_switch,total_correct,num_gold_coins,trials.all_keys.keys,trials.cueOffTime,trials.cueRespOnTime,cue_response.started,left_box_response.started,right_box_response.started,left_box_response.stopped,right_box_response.stopped,cue_response.stopped,trials.cueRespOffTime,trials.outcomeOnTime,outcome.started,outcome_left_box.started,outcome_right_box.started,outcome_left_box.stopped,outcome_right_box.stopped,outcome.stopped,outcome_image,trials.outcomeOffTime,trials.fixOnTime,fixation.started,fixation_cross.started,fixation_cross.stopped,fixation.stopped,trials.fixOffTime,left_box.stopped,right_box.stopped,cue_resp.stopped,all_keys.stopped,trials.all_keys.rt,trials.all_keys.duration,run_feedback.started,coins_won_text.started,run_feedback.stopped,leftover_time_break.started,fixation_end.started,fixation_end.stopped,leftover_time_break.stopped,end_exp.started,end_exp.stopped,participant,handedness,practice,restart_from_run,date,expName,psychopyVersion,frameRate,expStart,
16,0,16,space,2.228210600093007,None,5,2.2503076000139117,None,79.5319980001077,k,0.3046189001761377,None,None,79.86426419997588,79.86458630021662,81.87955620000139,81.87961030006409,82.88032629992813,82.88036399986595,83.88026539981365,,,,,,,0,0,0,0,16,0,16,0,86.61768520018086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5319980001077,86.60346850007772,86.61768520018086,86.61768520018086,86.61768520018086,86.61768520018086,86.93562490027398,k,0.3046189001761377,None,right,0,15,8,0,11,8,None,79.86426419997588,79.86458630021662,86.93605459993705,86.95180999999866,86.95180999999866,88.96994680026546,88.96994680026546,88.95094010001048,81.87955620000139,81.87961030006409,88.9613466002047,88.96994680026546,88.96994680026546,,,89.95172980008647,stimuli/box_empty_transparent.png,82.88032629992813,82.88036399986595,89.95182760013267,89.96787719987333,90.96790739987046,90.95168300019577,83.88026539981365,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
17,0,17,space,2.228210600093007,None,5,2.2503076000139117,None,83.88184519996867,j,0.4350853003561497,None,None,84.34833819977939,84.34873719979078,85.34743880014867,85.34747749986127,86.34696630015969,86.34699840005487,87.34667220013216,,,,,,,0,0,0,0,17,0,17,0,90.96790739987046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.88184519996867,90.95330910012126,90.96790739987046,90.96790739987046,90.96790739987046,90.96790739987046,91.41971600009128,j,0.4350853003561497,None,right,0,15,8,0,11,8,None,84.34833819977939,84.34873719979078,91.42020120006055,91.43417640030384,91.43417640030384,92.43415230000392,92.43415230000392,92.41883479990065,85.34743880014867,85.34747749986127,92.42707840027288,92.43415230000392,92.43415230000392,93.43402530020103,93.43402530020103,93.41838499996811,stimuli/box_empty_transparent.png,86.34696630015969,86.34699840005487,93.41845809994265,93.43402530020103,94.43358540022746,94.41808510012925,87.34667220013216,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
18,0,18,space,2.228210600093007,None,5,2.2503076000139117,None,87.34884539991617,k,0.4142348999157548,None,None,87.78031110018492,87.7806227998808,91.2803381998092,91.28037879988551,92.28066430008039,92.28070029988885,94.28020060015842,,,,,,,0,0,0,0,18,0,18,0,94.43358540022746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.34884539991617,94.42032309994102,94.43358540022746,94.43358540022746,94.43358540022746,94.43358540022746,94.85167160024866,k,0.4142348999157548,None,right,1,15,9,0,12,9,None,87.78031110018492,87.7806227998808,94.85209200019017,94.8675907002762,94.8675907002762,98.36740279989317,98.36740279989317,98.35173390014097,91.2803381998092,91.28037879988551,98.36168280011043,98.36740279989317,98.36740279989317,99.36754600005224,99.36754600005224,99.3520769001916,stimuli/box_coin_transparent.png,92.28066430008039,92.28070029988885,99.35216560028493,99.36754600005224,101.36840979987755,101.35162030020729,94.28020060015842,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
19,0,19,space,2.228210600093007,None,5,2.2503076000139117,None,94.28170230006799,k,0.37034570006653666,None,None,94.68086179997772,94.68117910018191,95.6802161000669,95.68025369988754,96.68009820021689,96.68013590015471,98.17957139993086,,,,,,,0,0,0,0,19,0,19,0,101.36840979987755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.28170230006799,101.35316679999232,101.36840979987755,101.36840979987755,101.36840979987755,101.36840979987755,101.75222210027277,k,0.37034570006653666,None,right,1,15,10,0,13,10,None,94.68086179997772,94.68117910018191,101.7526469998993,101.76764289988205,101.76764289988205,102.76711439993232,102.76711439993232,102.75161800021306,95.6802161000669,95.68025369988754,102.76185350026935,102.76711439993232,102.76711439993232,103.76734280027449,103.76734280027449,103.75151079986244,stimuli/box_coin_transparent.png,96.68009820021689,96.68013590015471,103.75160090019926,103.76734280027449,105.268265100196,105.25099050020799,98.17957139993086,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
20,0,20,space,2.228210600093007,None,5,2.2503076000139117,None,98.18099799985066,k,0.6236164001747966,None,None,98.83006219984964,98.83037130022421,100.8298251000233,100.82986319996417,101.82950530014932,101.8295493000187,103.8297243998386,,,,,,,0,0,0,0,20,0,20,0,105.268265100196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.18099799985066,105.25246210023761,105.268265100196,105.268265100196,105.268265100196,105.268265100196,105.90142200002447,k,0.6236164001747966,None,right,0,15,10,0,14,10,None,98.83006219984964,98.83037130022421,105.90184090007097,105.91669900016859,105.91669900016859,107.91781709995121,107.91781709995121,107.90122420014814,100.8298251000233,100.82986319996417,107.90945809986442,107.91781709995121,107.91781709995121,108.91692150011659,108.91692150011659,108.90091369999573,stimuli/box_empty_transparent.png,101.82950530014932,101.8295493000187,108.90102270012721,108.91692150011659,110.9176688999869,110.9011444998905,103.8297243998386,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
21,0,21,space,2.228210600093007,None,5,2.2503076000139117,None,103.83130259998143,k,0.5177389001473784,None,None,104.37965379981324,104.38005340006202,107.3798616998829,107.37990889977664,108.38028529984877,108.38032410014421,109.87821129988879,,,,,,,0,0,0,0,21,0,21,0,110.9176688999869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.83130259998143,110.90276640001684,110.9176688999869,110.9176688999869,110.9176688999869,110.9176688999869,111.45100290002301,k,0.5177389001473784,None,right,1,15,11,0,15,11,None,104.37965379981324,104.38005340006202,111.45153240021318,111.46656699990854,111.46656699990854,114.46782599994913,114.46782599994913,114.45125479996204,107.3798616998829,107.37990889977664,114.46259699994698,114.46782599994913,114.46782599994913,115.4664427000098,115.4664427000098,115.45169949997216,stimuli/box_coin_transparent.png,108.38028529984877,108.38032410014421,115.45179129997268,115.4664427000098,116.96633560024202,116.9496253002435,109.87821129988879,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
22,0,22,space,2.228210600093007,None,5,2.2503076000139117,None,109.88036930002272,k,0.4326537000015378,None,None,110.32934030005708,110.32958609983325,111.82942959992215,111.82946880022064,112.83004479994997,112.83008209988475,114.8292074999772,,,,,,,0,0,0,0,22,0,22,0,116.96633560024202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.88036930002272,116.9518490000628,116.96633560024202,116.96633560024202,116.96633560024202,116.96633560024202,117.40071809990332,k,0.4326537000015378,None,right,1,15,12,0,16,12,None,110.32934030005708,110.32958609983325,117.40104820020497,117.41629650024697,117.41629650024697,118.91660230001435,118.91660230001435,118.90082640014589,111.82942959992215,111.82946880022064,118.91065090009943,118.91660230001435,118.91660230001435,119.9168056002818,119.9168056002818,119.90145820006728,stimuli/box_coin_transparent.png,112.83004479994997,112.83008209988475,119.90154780028388,119.9168056002818,121.91682020016015,121.90062740026042,114.8292074999772,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
23,0,23,space,2.228210600093007,None,5,2.2503076000139117,None,114.83077949983999,k,0.3306602002121508,None,None,115.17978039989248,115.18004429992288,116.67915110010654,116.67918960005045,117.67962680011988,117.67966380016878,119.1796845998615,,,,,,,0,0,0,0,23,0,23,0,121.91682020016015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.83077949983999,121.90224400022998,121.91682020016015,121.91682020016015,121.91682020016015,121.91682020016015,122.25115690007806,k,0.3306602002121508,None,right,1,15,13,0,17,13,None,115.17978039989248,115.18004429992288,122.25150620006025,122.26722249994054,122.26722249994054,123.766617000103,123.766617000103,123.75054669985548,116.67915110010654,116.67918960005045,123.76054510008544,123.766617000103,123.766617000103,124.76650789985433,124.76650789985433,124.75104000000283,stimuli/box_coin_transparent.png,117.67962680011988,117.67966380016878,124.75112960021943,124.76650789985433,126.26714080013335,126.25110149988905,119.1796845998615,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
24,0,24,space,2.228210600093007,None,5,2.2503076000139117,None,119.18148980010301,k,0.3338963999412954,None,None,119.54683989984915,119.5471025002189,121.54507680004463,121.54512789985165,122.54566810000688,122.54570379992947,124.04572850000113,,,,,,,0,0,0,0,24,0,24,0,126.26714080013335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.18148980010301,126.25296019995585,126.26714080013335,126.26714080013335,126.26714080013335,126.26714080013335,126.61821869993582,k,0.3338963999412954,None,right,1,15,14,0,18,14,None,119.54683989984915,119.5471025002189,126.61856479989365,126.63330990029499,126.63330990029499,128.6332032000646,128.6332032000646,128.6164601999335,121.54507680004463,121.54512789985165,128.6269485000521,128.6332032000646,128.6332032000646,,,129.61707019992173,stimuli/box_coin_transparent.png,122.54566810000688,122.54570379992947,129.61717420024797,129.63351880013943,131.13383280020207,131.11714620003477,124.04572850000113,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
25,0,25,space,2.228210600093007,None,5,2.2503076000139117,None,124.04724489990622,k,0.2805592999793589,None,None,124.34663920011371,124.34695230005309,125.34640969987959,125.3464502999559,126.34560360014439,126.3456354001537,129.84590579988435,,,,,,,0,0,0,0,25,0,25,0,131.13383280020207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.04724489990622,131.11870909994468,131.13383280020207,131.13383280020207,131.13383280020207,131.13383280020207,131.41799970017746,k,0.2805592999793589,None,right,1,15,15,0,19,15,None,124.34663920011371,124.34695230005309,131.4184206998907,131.43372069997713,131.43372069997713,132.43280320009217,132.43280320009217,132.41780820023268,125.34640969987959,125.3464502999559,132.42774130031466,132.43280320009217,132.43280320009217,133.4330624998547,133.4330624998547,133.4170206002891,stimuli/box_coin_transparent.png,126.34560360014439,126.3456354001537,133.41709510004148,133.4330624998547,136.93628869997337,136.91732520004734,129.84590579988435,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
26,0,26,space,2.228210600093007,None,5,2.2503076000139117,None,129.847377799917,k,0.3505201996304095,None,None,130.23039800021797,130.23070769989863,130.72899270011112,130.7290403000079,131.7290878999047,131.72912319982424,135.2292124000378,,,,,,,0,0,0,0,26,0,26,0,136.93628869997337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.847377799917,136.91884210007265,136.93628869997337,136.93628869997337,136.93628869997337,136.93628869997337,137.3017743001692,k,0.3505201996304095,None,left,1,8,0,1,19,15,None,130.23039800021797,130.23070769989863,137.30217069992796,137.3166453000158,137.3166453000158,137.81641159998253,137.81641159998253,137.80037569999695,130.72899270011112,130.7290403000079,137.81019080011174,137.81641159998253,137.81641159998253,138.81661910004914,138.81661910004914,138.80050159990788,stimuli/box_empty_transparent.png,131.7290878999047,131.72912319982424,138.80058869998902,138.81661910004914,142.31650320021436,142.3006295002997,135.2292124000378,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
27,0,27,space,2.228210600093007,None,5,2.2503076000139117,None,135.2307183998637,k,0.42818079981952906,None,None,135.68031839979813,135.68062300002202,137.1789370002225,137.17898220010102,138.17895470000803,138.17898850003257,139.17738060001284,,,,,,,0,0,0,0,27,0,27,0,142.31650320021436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.2307183998637,142.30218250025064,142.31650320021436,142.31650320021436,142.31650320021436,142.31650320021436,142.75167950009927,k,0.42818079981952906,None,left,1,8,0,1,19,15,None,135.68031839979813,135.68062300002202,142.752093099989,142.76555939996615,142.76555939996615,144.26581969996914,144.26581969996914,144.25032850028947,137.1789370002225,137.17898220010102,144.25878030015156,144.26581969996914,144.26581969996914,145.26572450017557,145.26572450017557,145.25036780023947,stimuli/box_empty_transparent.png,138.17895470000803,138.17898850003257,145.25045350007713,145.26572450017557,146.26535920007154,146.2487914999947,139.17738060001284,,,,,,,,,,,,,,,,666666,right,no,None,2025-05-15_13h24.35.722,RL_out-of-scanner,2024.2.4,59.30051485029988,2025-05-15 13h24.49.402690 -0500,
